round,B0,Input-HFlip,Model-alt
1,10.0,10.0,10.0
2,13.229999542236328,13.760000228881836,14.329999923706055
3,12.229999542236328,16.989999771118164,11.520000457763672
4,16.290000915527344,20.020000457763672,17.360000610351562
5,32.41999816894531,34.029998779296875,30.610000610351562
6,17.6200008392334,21.719999313354492,16.600000381469727
7,24.139999389648438,26.549999237060547,22.110000610351562
8,23.68000030517578,25.729999542236328,23.479999542236328
9,30.1299991607666,38.0,30.34000015258789
10,29.729999542236328,34.779998779296875,28.81999969482422
11,38.22999954223633,40.5099983215332,40.209999084472656
12,36.90999984741211,39.41999816894531,35.7400016784668
13,38.220001220703125,43.2599983215332,34.59000015258789
14,46.650001525878906,48.31999969482422,45.439998626708984
15,45.459999084472656,49.31999969482422,46.11000061035156
16,46.720001220703125,53.380001068115234,47.040000915527344
17,45.529998779296875,48.4900016784668,48.40999984741211
18,35.709999084472656,40.119998931884766,36.0099983215332
19,44.220001220703125,49.5,44.86000061035156
20,45.060001373291016,52.279998779296875,40.88999938964844
21,52.31999969482422,54.720001220703125,52.4900016784668
22,56.310001373291016,60.7599983215332,55.040000915527344
23,49.59000015258789,54.97999954223633,50.70000076293945
24,51.36000061035156,50.970001220703125,53.0
25,55.150001525878906,56.47999954223633,57.029998779296875
26,51.04999923706055,56.56999969482422,51.959999084472656
27,51.61000061035156,60.5099983215332,53.86000061035156
28,51.5,58.41999816894531,52.33000183105469
29,47.15999984741211,52.689998626708984,48.77000045776367
30,56.86000061035156,61.779998779296875,58.220001220703125
31,57.20000076293945,62.900001525878906,58.25
32,57.790000915527344,61.02000045776367,59.63999938964844
33,56.36000061035156,64.41000366210938,58.47999954223633
34,66.2300033569336,71.11000061035156,67.52999877929688
35,55.4900016784668,59.95000076293945,57.119998931884766
36,53.540000915527344,61.189998626708984,53.029998779296875
37,61.36000061035156,67.55999755859375,64.25
38,57.97999954223633,66.12999725341797,60.619998931884766
39,59.81999969482422,64.76000213623047,60.349998474121094
40,65.27999877929688,70.51000213623047,65.9800033569336
41,67.66999816894531,66.66000366210938,67.77999877929688
42,57.77000045776367,67.80000305175781,61.7599983215332
43,62.060001373291016,67.38999938964844,62.150001525878906
44,63.189998626708984,67.58999633789062,62.040000915527344
45,55.09000015258789,68.31999969482422,56.650001525878906
46,66.11000061035156,70.37000274658203,66.37999725341797
47,61.189998626708984,68.1500015258789,63.599998474121094
48,61.599998474121094,67.2300033569336,62.7599983215332
49,59.5099983215332,64.9800033569336,59.25
50,62.38999938964844,66.38999938964844,61.41999816894531
51,56.099998474121094,63.209999084472656,56.27000045776367
52,66.94999694824219,67.86000061035156,67.66999816894531
53,60.72999954223633,66.93000030517578,60.65999984741211
54,51.72999954223633,57.81999969482422,52.619998931884766
55,67.12000274658203,71.0,68.23999786376953
56,65.16000366210938,71.38999938964844,66.58999633789062
57,56.97999954223633,68.11000061035156,61.16999816894531
58,53.369998931884766,63.61000061035156,62.79999923706055
59,61.20000076293945,68.06999969482422,66.19000244140625
60,64.73999786376953,70.68000030517578,67.05000305175781
61,66.75,73.30000305175781,69.0
62,63.790000915527344,68.87999725341797,65.20999908447266
63,64.2300033569336,70.23999786376953,67.5999984741211
64,64.52999877929688,71.69999694824219,66.5
65,65.80999755859375,71.91999816894531,67.01000213623047
66,64.66999816894531,71.55999755859375,66.37000274658203
67,63.15999984741211,66.30999755859375,63.61000061035156
68,57.5,65.2699966430664,59.4900016784668
69,69.98999786376953,74.01000213623047,72.80000305175781
70,59.650001525878906,68.55999755859375,63.06999969482422
71,58.91999816894531,67.8499984741211,59.84000015258789
72,62.560001373291016,69.98999786376953,65.9800033569336
73,69.18000030517578,71.0999984741211,70.27999877929688
74,67.22000122070312,73.44000244140625,69.63999938964844
75,71.70999908447266,76.47000122070312,73.98999786376953
76,66.94999694824219,69.75,67.19999694824219
77,65.30000305175781,70.87999725341797,67.91999816894531
78,64.62000274658203,70.30999755859375,68.0
79,69.20999908447266,74.05000305175781,69.3499984741211
80,66.68000030517578,68.25,68.11000061035156
81,65.19999694824219,70.9800033569336,65.76000213623047
82,66.30999755859375,73.12999725341797,69.76000213623047
83,69.41000366210938,75.30999755859375,73.44999694824219
84,65.27999877929688,68.6500015258789,66.88999938964844
85,68.44000244140625,72.5,70.36000061035156
86,67.23999786376953,72.47000122070312,66.7699966430664
87,70.0999984741211,72.56999969482422,73.16000366210938
88,69.8499984741211,74.26000213623047,71.08999633789062
89,70.08000183105469,74.19999694824219,72.76000213623047
90,68.87000274658203,74.66999816894531,66.3499984741211
91,64.2300033569336,76.30999755859375,72.19000244140625
92,66.58999633789062,73.55999755859375,72.19999694824219
93,67.05000305175781,72.70999908447266,68.11000061035156
94,68.36000061035156,74.81999969482422,69.73999786376953
95,69.05000305175781,75.54000091552734,73.69999694824219
96,67.61000061035156,74.91999816894531,71.9800033569336
97,66.91000366210938,72.37999725341797,66.13999938964844
98,65.58000183105469,72.2300033569336,67.36000061035156
99,62.150001525878906,67.47000122070312,64.94999694824219
100,64.0199966430664,68.41000366210938,67.75
101,68.4800033569336,72.80000305175781,71.87000274658203
102,73.33000183105469,77.58999633789062,73.69999694824219
103,72.45999908447266,77.9000015258789,75.30999755859375
104,72.48999786376953,76.25,74.70999908447266
105,70.95999908447266,75.44000244140625,73.62000274658203
106,69.55000305175781,75.01000213623047,71.76000213623047
107,45.15999984741211,61.22999954223633,56.0099983215332
108,69.4800033569336,77.30000305175781,74.02999877929688
109,72.97000122070312,77.26000213623047,75.91000366210938
110,71.6500015258789,77.51000213623047,74.55999755859375
111,72.83000183105469,75.97000122070312,76.16999816894531
112,72.61000061035156,77.04000091552734,72.91999816894531
113,67.66000366210938,71.25,69.45999908447266
114,67.5,72.48999786376953,71.44999694824219
115,64.06999969482422,72.79000091552734,66.98999786376953
116,69.8499984741211,78.62999725341797,74.66000366210938
117,66.8499984741211,75.30999755859375,68.86000061035156
118,71.13999938964844,76.5199966430664,74.76000213623047
119,71.2300033569336,66.91000366210938,64.95999908447266
120,66.44999694824219,75.94000244140625,70.56999969482422
121,72.16999816894531,77.27999877929688,74.33999633789062
122,68.86000061035156,73.94000244140625,72.86000061035156
123,70.01000213623047,74.62000274658203,72.45999908447266
124,65.7300033569336,68.76000213623047,66.01000213623047
125,66.08000183105469,70.41999816894531,68.08000183105469
126,61.970001220703125,70.04000091552734,68.16000366210938
127,71.27999877929688,74.12999725341797,74.58000183105469
128,67.5199966430664,75.0999984741211,72.88999938964844
129,74.44999694824219,79.6500015258789,77.76000213623047
130,65.5199966430664,72.91000366210938,70.73999786376953
131,66.22000122070312,69.75,70.3499984741211
132,74.7699966430664,77.12000274658203,78.19999694824219
133,66.5999984741211,76.11000061035156,70.30999755859375
134,72.9000015258789,76.22000122070312,75.94000244140625
135,66.58000183105469,75.62999725341797,70.7300033569336
136,68.69999694824219,68.72000122070312,68.26000213623047
137,71.13999938964844,76.83000183105469,73.19000244140625
138,74.33999633789062,78.02999877929688,76.9000015258789
139,72.20999908447266,74.76000213623047,73.58999633789062
140,73.44000244140625,78.98999786376953,77.38999938964844
141,75.58999633789062,79.26000213623047,76.91999816894531
142,67.88999938964844,65.41000366210938,68.81999969482422
143,64.80999755859375,70.86000061035156,67.38999938964844
144,74.97000122070312,80.02999877929688,77.58000183105469
145,68.2699966430664,73.75,70.52999877929688
146,66.8499984741211,71.5199966430664,67.2300033569336
147,70.13999938964844,77.25,73.0999984741211
148,69.58999633789062,73.2300033569336,72.20999908447266
149,68.26000213623047,73.62999725341797,72.70999908447266
150,74.44999694824219,78.38999938964844,77.19999694824219
151,61.810001373291016,66.41999816894531,61.90999984741211
152,68.30999755859375,66.91999816894531,67.80999755859375
