run_id,score_type,ratio,gap,target_layers,start_round,peak_accuracy,peak_round,final_accuracy,last20_mean,last50_mean,rounds201_300_mean,best_rolling5_mean,best_rolling5_end_round,peak_delta_vs_fedphoenix,peak_delta_vs_corrected_v1,last20_delta_vs_fedphoenix,last20_delta_vs_corrected_v1,clients_with_history,clients_history_eligible,clients_targeted,clients_stale,clients_cold_start,total_reset_slots,targeted_reset_slots,average_actual_target_fraction,actual_replaced_reset_slots,maximum_history_memory_bytes,valid_residual_history_fraction,residual_no_clean_peer_invalid_count
E1_fresh_gap10_ratio025_all,update_norm,0.25,10,all,1,78.33999633789062,290,73.79000091552734,71.55099925994872,71.32319984436035,71.40890003204346,74.87999877929687,297,-0.010003662109369316,0.0099945068359375,1.8859992599487185,0.791499519348136,2900,1923,1923,977,100,192930,28845,0.14951018504120667,28405,2112800,,0
E2_gap10_ratio0125_all,update_norm,0.125,10,all,1,78.55999755859375,218,75.16000366210938,71.8829999923706,71.80160018920898,71.98829990386963,75.71600036621093,261,0.20999755859375568,0.2299957275390625,2.2179999923705935,1.123500251770011,2900,1923,1923,977,100,192930,11538,0.05980407401648266,11364,2112800,,0
E3_gap20_ratio025_stronglayers,update_norm,0.25,20,"features.20,features.24,features.27,features.30",1,78.25,284,71.33999633789062,71.83349933624268,71.21699974060058,71.37409976959229,75.41800079345703,261,-0.09999999999999432,-0.0800018310546875,2.168499336242675,1.0739995956420927,2900,2577,2577,323,100,192930,18039,0.09350023324521847,17755,2112800,,0
E4_gap10_ratio025_stronglayers,update_norm,0.25,10,"features.20,features.24,features.27,features.30",1,77.87999725341797,232,73.27999877929688,71.18599967956543,71.32320014953613,71.27200019836425,75.18800048828125,261,-0.47000274658202557,-0.45000457763671875,1.5209996795654206,0.42649993896483807,2900,1923,1923,977,100,192930,13461,0.06977141968589644,13249,2112800,,0
E5_start151_gap10_ratio025_stronglayers,update_norm,0.25,10,"features.20,features.24,features.27,features.30",151,78.91000366210938,232,74.2699966430664,72.13149986267089,71.82199981689453,71.7643999862671,76.06999969482422,262,0.5600036621093807,0.5800018310546875,2.4664998626708865,1.372000122070304,2900,1923,985,515,0,192930,6895,0.03573835069714404,6792,2112800,,0
E6_residual_gap10_ratio025_stronglayers,residual,0.25,10,"features.20,features.24,features.27,features.30",1,78.30999755859375,290,74.66999816894531,72.11200008392333,71.78519989013672,71.79590003967286,75.1760009765625,233,-0.040002441406244316,-0.0200042724609375,2.447000083923328,1.3525003433227454,2900,1923,1923,977,100,192930,13461,0.06977141968589644,13249,2112800,0.9847750946969697,0
