round,algorithm,seed,tfp_target_ratio,tfp_max_history_gap,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,clients_with_history,clients_history_eligible,clients_targeted,clients_dispatch_changed,clients_cold_start,clients_stale,clients_no_valid_history,clients_no_target_slots,total_reset_slots,targeted_reset_slots,random_reset_slots,actual_target_fraction,baseline_random_overlap_slots,baseline_random_overlap_rate,replaced_reset_slots,mean_history_gap_for_targeted,history_memory_bytes,controller_rng_unchanged,failed_client_updates
1,TargetedFedPhoenix,1,0.25,20,10.0,14.750718400013284,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,0,0,0,0,10,0,0,0,660,0,660,0.0,0,0.0,0,,211280,True,0
2,TargetedFedPhoenix,1,0.25,20,13.930000305175781,8.218221899995115,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",575e138da6a28d700467477e7c48902eb2234f20bfaff0d3e68ce4701e541a7c,1,1,1,1,9,0,0,0,660,15,645,0.022727272727272728,0,0.0,15,1.0,401432,True,0
3,TargetedFedPhoenix,1,0.25,20,11.960000038146973,8.443053599999985,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",ff12a5e042228b35c78eacee32a6486ebe45e2c879ccdfff86e683060630d022,3,3,3,3,7,0,0,0,660,45,615,0.06818181818181818,1,0.022222222222222223,44,1.3333333333333333,549328,True,0
4,TargetedFedPhoenix,1,0.25,20,15.720000267028809,9.2976525999984,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",c695bf0752c056d4c90c6a01e3586a7424e003c283dd8df4da273047ae3a3872,2,2,2,2,8,0,0,0,660,30,630,0.045454545454545456,0,0.0,30,1.0,718352,True,0
5,TargetedFedPhoenix,1,0.25,20,34.20000076293945,6.639456599994446,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",d7964e86c65feef51a11dc48c9385a1326b872f50189078ba4fa98e6999786d1,6,6,6,6,4,0,0,0,660,90,570,0.13636363636363635,2,0.022222222222222223,88,1.8333333333333333,802864,True,0
6,TargetedFedPhoenix,1,0.25,20,17.200000762939453,10.079590499997721,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",c6f8b7a6f101c79aad30624fba9036f4a74997bae1b900eb9273584832b13c2b,3,3,3,3,7,0,0,0,660,45,615,0.06818181818181818,0,0.0,45,2.6666666666666665,950760,True,0
7,TargetedFedPhoenix,1,0.25,20,24.34000015258789,8.495560399998794,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",57aefd494e5873d41f3c434320fcc4cd59bcfd54cc325c2784cd837041222781,1,1,1,1,9,0,0,0,660,15,645,0.022727272727272728,0,0.0,15,2.0,1140912,True,0
8,TargetedFedPhoenix,1,0.25,20,22.899999618530273,9.225673900000402,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",d827be8161085295bf2f47605a90df264a25533d3ae2a356c80cfd1c282e732c,8,8,8,8,2,0,0,0,660,120,540,0.18181818181818182,1,0.008333333333333333,119,3.625,1183168,True,0
9,TargetedFedPhoenix,1,0.25,20,31.09000015258789,9.87253910000436,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",e85f6509bedc7ac81c5c899926d56ad7af39479eba1352b0ca090f3d9db2ae56,7,7,7,7,3,0,0,0,660,105,555,0.1590909090909091,4,0.0380952380952381,101,4.857142857142857,1246552,True,0
10,TargetedFedPhoenix,1,0.25,20,30.200000762939453,11.742663900004118,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",2cfb8433417849dfd665730a179b905318660f4804e284c385f386b5ff1978c8,6,6,6,6,4,0,0,0,660,90,570,0.13636363636363635,3,0.03333333333333333,87,3.1666666666666665,1331064,True,0
11,TargetedFedPhoenix,1,0.25,20,37.959999084472656,11.357803799997782,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[1200031, 1201028, 1202025, 1203022, 1204019, 1205016, 1206013, 1207010, 1208007, 1209004]",f6b57d46c7294deb7505a0460a653ec0bd7d6116e62246b4ddf570a31dde39c1,6,6,6,6,4,0,0,0,660,90,570,0.13636363636363635,3,0.03333333333333333,87,3.6666666666666665,1415576,True,0
12,TargetedFedPhoenix,1,0.25,20,37.56999969482422,8.934584500006167,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[1300034, 1301031, 1302028, 1303025, 1304022, 1305019, 1306016, 1307013, 1308010, 1309007]",5f448b4e0e28741b4e3b686eaae6bc4b03b17c2bc2f003f814f113f3744d022d,9,9,9,9,1,0,0,0,660,135,525,0.20454545454545456,2,0.014814814814814815,133,4.333333333333333,1436704,True,0
13,TargetedFedPhoenix,1,0.25,20,36.650001525878906,11.31130430000485,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]","[1400037, 1401034, 1402031, 1403028, 1404025, 1405022, 1406019, 1407016, 1408013, 1409010]",5d73b7e9039e01cc20930600dac2318ec280f67f01b511a6e2d9cd533b61af0d,7,7,7,7,3,0,0,0,660,105,555,0.1590909090909091,4,0.0380952380952381,101,5.428571428571429,1500088,True,0
14,TargetedFedPhoenix,1,0.25,20,45.79999923706055,9.239027099989471,"[41, 9, 30, 89, 40, 49, 3, 22, 8, 16]","[1500040, 1501037, 1502034, 1503031, 1504028, 1505025, 1506022, 1507019, 1508016, 1509013]",4799afdb7ad7aeb49c54c382e9ca84e92d5c081eac044f56e576cb040fa973ae,8,8,8,8,2,0,0,0,660,120,540,0.18181818181818182,2,0.016666666666666666,118,5.125,1542344,True,0
15,TargetedFedPhoenix,1,0.25,20,43.88999938964844,9.369132399995578,"[82, 28, 69, 81, 56, 71, 85, 27, 37, 66]","[1600043, 1601040, 1602037, 1603034, 1604031, 1605028, 1606025, 1607022, 1608019, 1609016]",d96415e582507b7d11e72c9fec4c808ea0381104fdb328d5720b56cf743b95ae,8,8,8,8,2,0,0,0,660,120,540,0.18181818181818182,1,0.008333333333333333,119,8.75,1584600,True,0
16,TargetedFedPhoenix,1,0.25,20,47.150001525878906,8.24131069998839,"[60, 13, 26, 12, 1, 28, 88, 86, 11, 43]","[1700046, 1701043, 1702040, 1703037, 1704034, 1705031, 1706028, 1707025, 1708022, 1709019]",35ac41bc5af6fe1aced94ae7b6602b941fb21d978588fac1f0cc5d699aae1b35,9,9,9,9,1,0,0,0,660,135,525,0.20454545454545456,1,0.007407407407407408,134,7.444444444444445,1605728,True,0
