round,layer,baseline_reset_slots,targeted_slots,random_slots,targeted_clients,baseline_random_overlap_slots,replaced_reset_slots,cold_start_count,stale_history_count,no_target_slots_count,no_valid_history_count,targeted_count,before_start_round_count,non_target_layer_count
126,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
126,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
126,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
126,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
126,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
126,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
126,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
126,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
126,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
126,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
127,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
127,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
127,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
127,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
127,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
127,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
127,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
127,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
127,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
127,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
127,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
127,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
128,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
128,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
128,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
128,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
128,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
128,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
128,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
128,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
128,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
128,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
128,features.40,80,0,80,0,0,0,0,0,0,0,0,10,0
128,features.7,20,0,20,0,0,0,0,0,0,0,0,10,0
129,features.10,20,0,20,0,0,0,0,0,0,0,0,10,0
129,features.14,40,0,40,0,0,0,0,0,0,0,0,10,0
129,features.17,40,0,40,0,0,0,0,0,0,0,0,10,0
129,features.20,40,0,40,0,0,0,0,0,0,0,0,10,0
129,features.24,80,0,80,0,0,0,0,0,0,0,0,10,0
129,features.27,80,0,80,0,0,0,0,0,0,0,0,10,0
129,features.3,10,0,10,0,0,0,0,0,0,0,0,10,0
129,features.30,80,0,80,0,0,0,0,0,0,0,0,10,0
129,features.34,80,0,80,0,0,0,0,0,0,0,0,10,0
129,features.37,80,0,80,0,0,0,0,0,0,0,0,10,0
