round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
24,50.290000915527344,1.4679995738983154,"[70, 54, 33, 75, 31, 58, 17, 6, 3, 51]","[[6, 33], [33, 75]]",13.412422799970955
25,54.380001068115234,1.336470846939087,"[42, 87, 33, 36, 30, 84, 78, 98, 71, 75]","[[87, 98], [78, 42]]",10.952992099977564
26,52.540000915527344,1.4144111406326294,"[41, 47, 34, 10, 51, 11, 50, 16, 86, 64]","[[64, 86], [10, 47]]",10.414083700045012
27,58.459999084472656,1.2296650560379028,"[58, 82, 63, 50, 98, 84, 4, 46, 65, 88]","[[58, 84], [82, 98]]",12.249142699991353
28,54.560001373291016,1.266402057647705,"[99, 88, 69, 16, 46, 29, 90, 91, 4, 45]","[[69, 99], [16, 46]]",9.795742199989036
29,51.29999923706055,1.4695305074691773,"[80, 73, 28, 34, 1, 10, 13, 65, 5, 49]","[[49, 73], [5, 65]]",12.130829500034451
30,59.25,1.2045566915512085,"[62, 41, 74, 11, 99, 8, 75, 26, 81, 85]","[[99, 62], [8, 11]]",10.353434499993455
31,58.79999923706055,1.2031896738052368,"[96, 81, 77, 83, 14, 50, 13, 67, 53, 91]","[[91, 13], [83, 14]]",9.315694499993697
32,57.90999984741211,1.213387642288208,"[40, 73, 70, 3, 6, 94, 1, 25, 20, 10]","[[10, 20], [20, 10]]",12.215087899996433
33,59.369998931884766,1.192026676750183,"[45, 16, 51, 88, 17, 78, 36, 44, 21, 62]","[[51, 16], [62, 44]]",11.002233700011857
34,66.4000015258789,0.981227166557312,"[92, 43, 97, 61, 58, 67, 1, 98, 30, 75]","[[97, 1], [1, 92]]",8.980186900007538
35,55.040000915527344,1.324952211380005,"[31, 89, 17, 66, 92, 23, 96, 9, 35, 20]","[[20, 96], [96, 9]]",10.929102300025988
36,56.47999954223633,1.2707215436935424,"[72, 68, 65, 28, 23, 85, 16, 60, 73, 78]","[[16, 60], [28, 68]]",13.143866800004616
37,62.599998474121094,1.07743991355896,"[66, 49, 62, 9, 84, 68, 74, 3, 44, 71]","[[68, 71], [44, 74]]",11.417305599956308
38,61.83000183105469,1.1005612789154053,"[50, 73, 27, 38, 8, 53, 21, 14, 28, 64]","[[28, 64], [50, 27]]",9.643995300051756
39,57.9900016784668,1.2780184825897216,"[48, 87, 40, 59, 3, 10, 75, 35, 49, 89]","[[89, 40], [48, 59]]",10.928986299957614
40,65.41999816894531,1.0073896218299865,"[83, 93, 34, 60, 90, 45, 42, 41, 91, 36]","[[36, 91], [60, 34]]",11.063884800008964
41,65.5999984741211,1.039768159866333,"[75, 52, 20, 80, 90, 93, 4, 51, 13, 98]","[[93, 75], [20, 75]]",11.1603340000147
42,62.93000030517578,1.1036175804138184,"[98, 79, 17, 10, 3, 12, 29, 26, 54, 58]","[[17, 26], [26, 98]]",11.69658539997181
43,59.93000030517578,1.1890096839904785,"[32, 15, 47, 9, 7, 16, 24, 57, 71, 28]","[[47, 71], [15, 28]]",11.888462200004142
