algorithm,metric,median,q25,q75,count
FedAvg,local_update_norm,1.0237362384796143,0.7918664813041687,1.4303153157234192,307
FedAvg,dispatch_minus_global_norm,0.0,0.0,0.0,307
FedAvg,input_change_norm,1.0892685651779175,0.7974763512611389,1.5092647075653076,297
FedAvg,response_change_norm,1.4103096723556519,1.0888851881027222,1.860256314277649,297
FedAvg,secant_gain,1.2709788667280817,0.9349042808128507,1.847085092039368,297
FedAvg,response_change_ratio,0.6579021840078274,0.6341876753979867,0.6845471214462575,297
FedAvg,h_norm,1.2720147371292114,0.9363567233085632,1.8505407571792603,297
FedPhoenix,local_update_norm,1.214971661567688,0.9645172655582428,1.5200347900390625,307
FedPhoenix,dispatch_minus_global_norm,1.2310831546783447,0.9352017641067505,2.704120635986328,307
FedPhoenix,input_change_norm,2.5002264976501465,2.012817144393921,4.734517574310303,297
FedPhoenix,response_change_norm,1.5864015817642212,1.2213716506958008,1.8997811079025269,297
FedPhoenix,secant_gain,0.5418450781307986,0.32742760656831343,0.7672824460683485,297
FedPhoenix,response_change_ratio,0.6271911917456146,0.6053796551017847,0.647457785866944,297
FedPhoenix,h_norm,0.541515588760376,0.3272891342639923,0.7667922973632812,297
