round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
1,11.319999694824219,2.3900667278289793,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[[81, 36], [93, 36]]",17.184229100006633
2,14.949999809265137,2.282492802429199,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[[1, 38], [35, 87]]",10.562747200019658
3,20.15999984741211,2.2637702327728273,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[[45, 80], [95, 99]]",11.067010600003414
4,18.1200008392334,2.2668213073730468,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[[66, 25], [89, 32]]",12.021447100036312
5,39.68000030517578,1.62521386013031,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[[38, 96], [9, 88]]",9.229165300028399
