round,verification_performed,normal_aggregate_sha256_before_shadow,normal_aggregate_sha256_after_shadow,loaded_global_sha256,shadow_left_aggregate_unchanged,global_equals_normal_aggregate
1,True,43f62cd77c3d2ef4bb7f62beb3b47db6f6462cd4432fc100f626779aab1258a4,43f62cd77c3d2ef4bb7f62beb3b47db6f6462cd4432fc100f626779aab1258a4,43f62cd77c3d2ef4bb7f62beb3b47db6f6462cd4432fc100f626779aab1258a4,True,True
2,True,ee31b9a891ec8ce1c5ce18e781a4a8c065f283ca247bdfe46b3005761b87929e,ee31b9a891ec8ce1c5ce18e781a4a8c065f283ca247bdfe46b3005761b87929e,ee31b9a891ec8ce1c5ce18e781a4a8c065f283ca247bdfe46b3005761b87929e,True,True
3,True,198ac08b161b35b9ce5f0cac457f637783aee9511af0a107a9162da045a7d99d,198ac08b161b35b9ce5f0cac457f637783aee9511af0a107a9162da045a7d99d,198ac08b161b35b9ce5f0cac457f637783aee9511af0a107a9162da045a7d99d,True,True
4,True,8e3a41a1c746d954c3557bd0b0c99e8cb20b46763fb29b23fca8571592723ade,8e3a41a1c746d954c3557bd0b0c99e8cb20b46763fb29b23fca8571592723ade,8e3a41a1c746d954c3557bd0b0c99e8cb20b46763fb29b23fca8571592723ade,True,True
5,True,691190343e152e070da292401765cd40632d7207140d507507e79c70fab30012,691190343e152e070da292401765cd40632d7207140d507507e79c70fab30012,691190343e152e070da292401765cd40632d7207140d507507e79c70fab30012,True,True
