stage,start_round,end_round,n_events,unique_targets,unique_donors,metric,count_finite,mean,std,sem,ci95_low,ci95_high
rounds_1_150,1,150,10,10,9,norm_WA_minus_Wt_all,10,1.5608640873521782,0.5200634696331734,0.16445850918906404,1.2385254093416127,1.8832027653627437
rounds_1_150,1,150,10,10,9,norm_WB_minus_Wt_all,10,1.7124006920308077,0.5286092013413393,0.1671609068361166,1.3847653146320191,2.040036069429596
rounds_1_150,1,150,10,10,9,norm_WBA_minus_WB_all,10,1.5500750157103527,0.4502797314309441,0.1423909535530692,1.270988746746337,1.8291612846743683
rounds_1_150,1,150,10,10,9,norm_WB_minus_WA_all,10,2.330053839517218,0.5745246796774386,0.1816806559759358,1.9739597538043836,2.686147925230052
rounds_1_150,1,150,10,10,9,norm_WBA_minus_WA_all,10,2.6282918803482835,0.6598008126929503,0.2086473370139858,2.2193430998008714,3.0372406608956957
rounds_1_150,1,150,10,10,9,recovery_pull_score_all,10,-0.12878425113805758,0.062305725285254715,0.01970280031701491,-0.1674017397594068,-0.09016676251670835
rounds_1_150,1,150,10,10,9,cos_WBA_minus_WB__WA_minus_Wt_all,10,0.15568860986784164,0.03878851427301859,0.012266005215668901,0.1316472396451306,0.1797299800905527
rounds_1_150,1,150,10,10,9,cos_WBA_minus_WB__WB_minus_Wt_all,10,-0.05322600979882454,0.04498838420643646,0.014226576234308595,-0.08111009921806939,-0.025341920379579694
rounds_1_150,1,150,10,10,9,cos_WBA_minus_Wt__WA_minus_Wt_all,10,0.1288062490156943,0.04164378354004784,0.013168920637358096,0.10299516456647242,0.15461733346491616
rounds_1_150,1,150,10,10,9,cos_WBA_minus_Wt__WB_minus_Wt_all,10,0.707476331925466,0.13104537792177118,0.041440187107033954,0.6262535651956794,0.7886990986552526
rounds_1_150,1,150,10,10,9,norm_WA_minus_Wt_conv,10,1.4117309209039561,0.4662961997388377,0.14745580554555388,1.1227175420346707,1.7007442997732416
rounds_1_150,1,150,10,10,9,norm_WB_minus_Wt_conv,10,1.5808420694860956,0.5052375564469542,0.15977014378302637,1.2676925876713638,1.8939915513008274
rounds_1_150,1,150,10,10,9,norm_WBA_minus_WB_conv,10,1.3493524935894503,0.4240307770622154,0.13409030535276822,1.0865354950980246,1.612169492080876
rounds_1_150,1,150,10,10,9,norm_WB_minus_WA_conv,10,2.144612990995298,0.5236569133161468,0.16559485585723804,1.8200470735151113,2.4691789084754845
