entity,scope,metric,entity_count,between_entity_variance_of_means,pooled_within_entity_event_variance,between_to_within_ratio
target,all,response_change_ratio,100,1.1842280310240778,3.094481914122957,0.3826902414970855
target,all,cancellation_coefficient,100,0.00036607918752150717,0.009621587106687713,0.038047692492131066
target,all,survival_ratio,100,1.11529535825732,2.894033141745454,0.3853775349596243
target,all,survival_cosine,100,0.005275279959752757,0.03158528782665643,0.16701699818928611
target,all,response_cosine,100,0.00016617206797712436,0.0012215292301106134,0.136036096297161
target,all,cos_q_a,100,0.005489478018676178,0.05235324989259103,0.10485457980046128
target,conv,response_change_ratio,100,1.1921880082822263,3.1178225938030484,0.38237839787671263
target,conv,cancellation_coefficient,100,0.00031514391188261823,0.007287811690104554,0.04324259809162235
target,conv,survival_ratio,100,1.1183167436204495,2.908295022162567,0.38452658175953724
target,conv,survival_cosine,100,0.005553812845661682,0.031523559557468855,0.17617975011790257
target,conv,response_cosine,100,0.00011107484491317832,0.0007094166426563593,0.15657208787387142
target,conv,cos_q_a,100,0.005917736457318088,0.05474722366135372,0.10809199191401994
target,classifier,response_change_ratio,100,1.0747028227658748,2.6957000945816882,0.3986729921944987
target,classifier,cancellation_coefficient,100,0.010070149300483555,0.18429550668688338,0.05464131753137454
target,classifier,survival_ratio,100,1.0813419208836075,2.564292067356333,0.4216921834486745
target,classifier,survival_cosine,100,0.004267984411152202,0.07182282742579157,0.05942378717354101
target,classifier,response_cosine,100,0.003042126362648857,0.021416459164773742,0.14204618696505222
target,classifier,cos_q_a,100,0.005421588020401085,0.0870071423582712,0.062311988113303324
donor,all,response_change_ratio,100,0.26250004666522564,3.985639257017093,0.06586146656475987
donor,all,cancellation_coefficient,100,0.003272363710688606,0.0070420866348749065,0.4646866589914845
donor,all,survival_ratio,100,0.21492792618669068,3.762046602491178,0.057130585794542846
donor,all,survival_cosine,100,0.008955929904596897,0.02840059715982019,0.31534301388800795
donor,all,response_cosine,100,0.0005664490655275378,0.0008466841645539829,0.6690205028529528
donor,all,cos_q_a,100,0.003989134978257123,0.05425534788086067,0.07352519399593319
donor,conv,response_change_ratio,100,0.26909957758447256,4.0104436556810406,0.06709970284790721
donor,conv,cancellation_coefficient,100,0.001622692459180842,0.006140298120999232,0.26426932816688314
donor,conv,survival_ratio,100,0.21935224489042135,3.775382434717661,0.05810066892119379
donor,conv,survival_cosine,100,0.00852667057126291,0.02897113328572344,0.29431608653931157
donor,conv,response_cosine,100,0.0001986882859941013,0.0006326727581739067,0.3140459003918209
donor,conv,cos_q_a,100,0.004480344876017563,0.05660355621153961,0.07915306344487535
donor,classifier,response_change_ratio,100,0.1660110190567707,3.5784820198850675,0.04639146379226536
donor,classifier,cancellation_coefficient,100,0.05777613718819441,0.1401010294972958,0.41238909803521173
donor,classifier,survival_ratio,100,0.13893974336069498,3.476499388012666,0.03996541573968739
donor,classifier,survival_cosine,100,0.024592709258717833,0.05293623853443074,0.46457228430996783
donor,classifier,response_cosine,100,0.008774859662578974,0.016042877880005316,0.5469629407025111
donor,classifier,cos_q_a,100,0.008244522957637107,0.08455882588591833,0.09750044269488936
