stage,scope,metric,count,mean,std,median,min,q05,q25,q75,q95,max,sem,ci95_low,ci95_high,negative_fraction,zero_fraction,positive_fraction
overall,all,response_change_ratio,2500,2.065962102523278,2.0170659525489003,1.6803934787791903,0.10461699824916866,0.7174165915736332,1.2294417242691953,2.312115030956241,4.450044970969242,53.08591204137776,0.04034131905097801,1.9868931171833613,2.145031087863195,0.0,0.0,1.0
overall,all,cancellation_coefficient,2500,0.14999411942322244,0.09797372425604485,0.13513535971854101,-1.033376400297101,0.04065378781719374,0.08796338151927983,0.19121547834260483,0.3093726812888207,1.4408767024533073,0.001959474485120897,0.14615354943238548,0.1538346894140594,0.0004,0.0,0.9996
overall,all,survival_ratio,2500,2.2857660000391884,1.9524183396080221,1.8751884612033098,1.0026418736865539,1.1895417147812386,1.5099552404444125,2.449780566120445,4.48458091789024,53.09123871270486,0.03904836679216044,2.209231201126554,2.3623007989518228,0.0,0.0,1.0
overall,all,survival_cosine,2500,0.462440014420148,0.18785767739413892,0.45359354977606237,-0.09409519617126552,0.1650722242248847,0.33044917734734613,0.5905178603389394,0.7976841799523301,0.994550288610127,0.0037571535478827783,0.45507599346629773,0.46980403537399823,0.0008,0.0,0.9992
overall,all,response_cosine,2500,-0.0810549255665456,0.03653736065400126,-0.07560055837021878,-0.29513379793622285,-0.14755114184809312,-0.09857738840733454,-0.056334968159677125,-0.03276543766381672,0.025171833827103755,0.0007307472130800252,-0.08248719010418246,-0.07962266102890875,0.9996,0.0,0.0004
overall,all,cos_q_a,2500,-0.4006920146697079,0.23594818206679874,-0.42017520682634246,-0.9888547845679195,-0.7469925878255421,-0.5851194302315339,-0.22870508903368852,0.002255891475493434,0.7915281588656214,0.004718963641335974,-0.4099411834067264,-0.39144284593268935,0.9484,0.0,0.0516
overall,conv,response_change_ratio,2500,2.073362487911094,2.0244254414509015,1.6884593644362411,0.09698667024999791,0.7055908147456832,1.2249771479186031,2.3289886637688184,4.467068190214603,52.60879796885772,0.04048850882901803,1.9940050106062188,2.1527199652159696,0.0,0.0,1.0
overall,conv,cancellation_coefficient,2500,0.1252162466445146,0.08546708270371026,0.11384871386582794,-1.1751782505895803,0.028958218828719774,0.07300655509942787,0.1585686557121402,0.26269678142931097,1.0888633716455949,0.001709341654074205,0.12186593700252916,0.12856655628650004,0.0008,0.0,0.9992
overall,conv,survival_ratio,2500,2.3060985927852,1.9566551155972043,1.8968478849561752,1.003092210348257,1.1932603871578058,1.5257244282735027,2.4714069703264823,4.4926108394529045,52.614328717132445,0.039133102311944085,2.22939771225379,2.3827994733166102,0.0,0.0,1.0
overall,conv,survival_cosine,2500,0.471342506122128,0.18834929290830676,0.46280107576425356,-0.019843959534916467,0.16806794175171338,0.340627352839986,0.599984336593335,0.8028807351407158,0.9953207230823015,0.0037669858581661354,0.4639592138401224,0.47872579840413365,0.0004,0.0,0.9996
overall,conv,response_cosine,2500,-0.06622163770806355,0.028120503853266438,-0.0643883505613832,-0.2363123646628377,-0.11429468281146977,-0.08161963416317947,-0.047401619787245206,-0.0246605316949462,0.028404732580453156,0.0005624100770653288,-0.0673239614591116,-0.0651193139570155,0.9992,0.0,0.0008
overall,conv,cos_q_a,2500,-0.41578207976263604,0.24162454831948482,-0.43989317181837173,-0.9887989527226176,-0.7639175335169329,-0.6071507731497677,-0.23988884604104208,-0.004196921507000648,0.7941865955517278,0.004832490966389697,-0.42525376205675985,-0.4063103974685122,0.9532,0.0,0.0468
overall,classifier,response_change_ratio,2500,1.8872903563470576,1.8946196825069586,1.5623880982357374,0.2144952030761602,0.8273284167978023,1.2060579789971666,2.1043289859891026,3.618778910188989,63.223686680917666,0.03789239365013917,1.8130212647927848,1.9615594479013303,0.0,0.0,1.0
overall,classifier,cancellation_coefficient,2500,0.6999214881004515,0.43194133566377124,0.6194668787413592,-0.6281097534721988,0.18918374044945596,0.42462810219694036,0.8794006920653077,1.4539781791034463,6.173759317030039,0.008638826713275425,0.6829893877424317,0.7168535884584714,0.0008,0.0,0.9992
overall,classifier,survival_ratio,2500,1.8117771709869772,1.862530781227829,1.4505079111994195,0.6564321509070615,0.9841923344548965,1.1929461590220785,1.9198794450010945,3.3992970493786414,63.225413115308335,0.03725061562455658,1.7387659643628464,1.884788377611108,0.0,0.0,1.0
overall,classifier,survival_cosine,2500,0.2450626599581644,0.27056433263414725,0.24403539676892752,-0.7504380895536976,-0.19838962558071338,0.06419615162947477,0.4313654537131503,0.6896828123142092,0.9767908372668258,0.005411286652682945,0.23445653811890582,0.255668781797423,0.1844,0.0,0.8156
overall,classifier,response_cosine,2500,-0.39916753536257954,0.15332644851568575,-0.40681508444599646,-0.8431630870264416,-0.6352267913100185,-0.5137598624713475,-0.28831138222452146,-0.13920853229974858,0.08816378255120261,0.003066528970313715,-0.4051779321443944,-0.3931571385807647,0.9992,0.0,0.0008
overall,classifier,cos_q_a,2500,-0.13793902910339428,0.2979713733838767,-0.11247340839628717,-0.9912959966369155,-0.6863505462914428,-0.3325667456486546,0.07962716155138125,0.29666965636883613,0.6973512282096682,0.005959427467677534,-0.14961950694004225,-0.12625855126674632,0.65,0.0,0.35
rounds_1_150,all,response_change_ratio,750,1.4956430485879022,0.7668789209498598,1.3722213672383943,0.22964742523442058,0.6901064041582285,1.0847529373613998,1.7251537940438122,2.4468026605078905,9.241448846451993,0.028002458925297284,1.4407582290943195,1.550527868081485,0.0,0.0,1.0
rounds_1_150,all,cancellation_coefficient,750,0.12256928356803772,0.06968671387316337,0.10988293954998221,0.009468795219134088,0.03696516743805379,0.07053210342779816,0.16499974071306,0.24694251008211024,0.4454371882743502,0.002544599009782652,0.11758186950886372,0.12755669762721172,0.0,0.0,1.0
rounds_1_150,all,survival_ratio,750,1.7643085101066927,0.683349695831962,1.6346615971230924,1.0167597304426552,1.170108671926584,1.4091022881153759,1.927486532618988,2.585462739944831,9.27642426102926,0.024952402871430638,1.7154018004786886,1.8132152197346967,0.0,0.0,1.0
rounds_1_150,all,survival_cosine,750,0.5439718228578818,0.15665776927243863,0.5438573513508703,0.08880955729158913,0.30960988807501116,0.4317684463628211,0.6488659713535331,0.811903064965999,0.9742038115038542,0.005720332935930287,0.5327599703034585,0.5551836754123052,0.0,0.0,1.0
rounds_1_150,all,response_cosine,750,-0.08314416263563001,0.03593930325900138,-0.07723772951720605,-0.2700612452692717,-0.1498861728718713,-0.10111222489009736,-0.0587871556575741,-0.03744696799594458,-0.011049112946445427,0.0013123178063982658,-0.08571630553617061,-0.08057201973508941,1.0,0.0,0.0
