donor_client_id,dominant_class,event_count,unique_target_client_id_count,response_change_ratio_all_mean,response_change_ratio_all_std,cancellation_coefficient_all_mean,cancellation_coefficient_all_std,survival_ratio_all_mean,survival_ratio_all_std,survival_cosine_all_mean,survival_cosine_all_std,response_cosine_all_mean,response_cosine_all_std,cos_q_a_all_mean,cos_q_a_all_std,response_change_ratio_conv_mean,response_change_ratio_conv_std,cancellation_coefficient_conv_mean,cancellation_coefficient_conv_std,survival_ratio_conv_mean,survival_ratio_conv_std,survival_cosine_conv_mean,survival_cosine_conv_std,response_cosine_conv_mean,response_cosine_conv_std,cos_q_a_conv_mean,cos_q_a_conv_std,response_change_ratio_classifier_mean,response_change_ratio_classifier_std,cancellation_coefficient_classifier_mean,cancellation_coefficient_classifier_std,survival_ratio_classifier_mean,survival_ratio_classifier_std,survival_cosine_classifier_mean,survival_cosine_classifier_std,response_cosine_classifier_mean,response_cosine_classifier_std,cos_q_a_classifier_mean,cos_q_a_classifier_std
0,4,18,16,2.9421470388063145,4.204117818303143,0.18974092595184525,0.08714870431650881,3.1186740811508527,4.147142605757796,0.4093110350364644,0.17148832880733178,-0.09195543103277039,0.03218791655691956,-0.33499815195618876,0.28344037267604255,2.947665472961562,4.225946381935532,0.15373636079130526,0.09149168736365863,3.1440674719456276,4.162340726324314,0.42366863357872553,0.1766189453029507,-0.06971951258592318,0.025200882766046824,-0.3525046759717786,0.2890304305892596,2.607912120923563,2.9254112724355013,0.9444928095501237,0.5431207592783261,2.3829275149769433,2.9674340806448884,0.07589831798243149,0.26799943093438267,-0.49133226036991445,0.17835690507371674,-0.029858180043019482,0.24777399846396686
1,6,15,15,2.4271556988803127,1.6133716391464439,0.1254594877825838,0.059867301434958935,2.6189885439191873,1.5389589454514563,0.41083072782183705,0.16015780188954803,-0.059851285905626134,0.023354581397218355,-0.4760369423942599,0.3908931889977242,2.4416592243921285,1.6186328537769654,0.11296891961761896,0.06314015250935257,2.6385103386834463,1.5420299520800456,0.41345703888346713,0.16160589009067766,-0.05291243631480135,0.022250059522172485,-0.4875092370113458,0.3952032085461626,2.02220803232275,1.2438601869714758,0.4344269896610252,0.10398405247212085,2.0534350255364955,1.2455283870847935,0.3274756797948342,0.10438071685483812,-0.2697276015482457,0.12443395657575955,-0.3161278415058502,0.3542986458159492
2,6,12,12,1.7730982246828806,1.3611884768524762,0.098804902441263,0.05494901139780021,2.05486209966538,1.2456063105968613,0.5466370551655658,0.20456374614725592,-0.061834641034966976,0.017378766562178714,-0.439964973332384,0.1444821417140221,1.7714662039517945,1.362162043572625,0.09225783469281941,0.051688731300051936,2.0571670031666014,1.2457210004220158,0.5494170079585764,0.2048120254470844,-0.057583103203131876,0.01596226593952911,-0.44891325976606855,0.1450918451980513,1.8400715712243005,1.341003305002108,0.43204723424722963,0.34164653896013025,1.9386760291178948,1.2409980797472009,0.4028290653987419,0.235253668829669,-0.24561169070065877,0.11155708820328307,-0.22579714673200665,0.2882318173537933
3,1,25,21,1.7383139668592884,0.7292828268886804,0.14268588837126459,0.09798557667426663,1.965762397982573,0.6314015237794648,0.48276170403559604,0.16329570053586528,-0.08000183635007117,0.030568017864489365,-0.4412185451040011,0.24520321676311138,1.754814524332873,0.7457667270356146,0.1278296302735524,0.0960610068946072,1.9891862613287532,0.6461214913212667,0.48610834329037184,0.1639232380550079,-0.07002016976527047,0.02943718734322471,-0.4480352680347321,0.24444322381866346,1.294737542634724,0.38993803900741614,0.5155683048931597,0.1776900554850934,1.3020955055681003,0.31577549501265745,0.4006268875798809,0.18694874001469222,-0.4052022873050919,0.10134148191893817,-0.2254256390744428,0.33345532733603434
4,0,22,18,2.418782587641998,1.606692322547623,0.17495324449460398,0.040344359470629775,2.5797257404098666,1.5555470125352653,0.384298793450978,0.14390023436196964,-0.09050694274905756,0.037954357759282804,-0.41666279692530744,0.24520970528811661,2.4332856582604623,1.6076935105977614,0.14736909731000106,0.04078965854638301,2.607525874808531,1.5502863110091367,0.39305917919184435,0.14868946887570492,-0.07448399683373523,0.03043406918323686,-0.42884705059930667,0.25060312491378084,2.1740542173346777,1.669229279493043,0.7111437886643678,0.21167396042995285,2.0412990464933443,1.7117791647816176,0.18078634603655888,0.14547079779748937,-0.4153052927042863,0.16999467954576575,-0.19506720911816233,0.29970707787382433
5,9,23,19,1.5993266352145807,1.1840272664172247,0.09834911921138091,0.06970446019834278,1.9090980950449945,1.0514398447321918,0.5772075493421494,0.2221699455730509,-0.06721676260136049,0.02212028732248606,-0.4654716723311573,0.22672854731774822,1.6078127760014649,1.2133277845121324,0.08795761058097852,0.06764038422759484,1.9246233442261602,1.0787611499550278,0.5809798022322743,0.22362926317900422,-0.05857306203836488,0.020945812258717333,-0.47789810308182684,0.23021503399211626,1.3141527487674436,0.5203377670396295,0.433182866115512,0.24017747541378798,1.4043582745635836,0.3925412715083743,0.4537629899415546,0.23192171191354527,-0.3276825546898337,0.10367306234015515,-0.18148937645631352,0.299671616082383
6,3,14,12,0.7932066483820363,0.3785446287159335,0.0703560808241043,0.0576420889217171,1.2565900616574266,0.2139541753825244,0.7630725797602748,0.15325551746556984,-0.07879831003173245,0.03704080055667296,-0.5561043146788378,0.21660086519697125,0.7812496911339857,0.3776215265966068,0.05245324897414149,0.044959715773240184,1.2624894251960392,0.21762435704169542,0.7733126156116558,0.14719786880386324,-0.05997252946252497,0.030622598796828385,-0.5859618646203927,0.22772130665798396,1.0686556470563855,0.4132912269760151,0.43228012147070544,0.2922163492203438,1.1836410589890358,0.19433202934945018,0.5118394743863547,0.2831651164826899,-0.36850422380044223,0.1354183768019641,-0.10535051507383777,0.16897990648061087
7,7,20,19,2.6125937941650625,1.6321240686058085,0.17761221797142304,0.1010721575103502,2.77872996593159,1.5490979377578242,0.3724420979165449,0.17884802964756333,-0.07144054769760291,0.020991438006972757,-0.28278868837681786,0.22571303135046517,2.6310006560783483,1.6647486442687107,0.159142773664613,0.09455007536731926,2.8041307205421218,1.5806555777199132,0.37771569832130253,0.17878493964644238,-0.06333664785363567,0.01806609485038056,-0.2889067388097033,0.22723472467880904,2.1303615338399196,1.0339411158456362,0.8417483901580451,0.48011496390847364,2.0079065609686313,0.9396736525353165,0.15104059752372362,0.2625724008580481,-0.39458090155093145,0.1246570317578413,-0.07816187552863547,0.21757595541987504
8,2,18,16,1.9973798305828896,2.4626154921744567,0.08066031870262169,0.05915262979634193,2.3466525476283047,2.3121389225549374,0.605673490304362,0.27088860111047536,-0.05225887847912336,0.023831823818384227,-0.5200219218501059,0.17963023027690697,2.000085791002036,2.474409850227572,0.07211160227457536,0.05538738721777722,2.3553623099391676,2.3217255276062514,0.6088449120634238,0.27165327373083803,-0.045051031934466225,0.021571603244073267,-0.5426467436102949,0.19095947799185442,1.8616462869603936,2.0256065809313566,0.34926571422465447,0.2194142997454495,2.0310615597446553,1.9297685601432664,0.4889486562569487,0.26640339811282215,-0.2365266098538131,0.11251654860631843,-0.2183052871968452,0.18308175938798693
9,4,38,28,1.8214592925152338,0.9893403818643722,0.10061279829731806,0.03597372581297889,2.0648196604893343,0.9098515070110085,0.4910514892131232,0.15671201395175235,-0.059146901740078084,0.016447226865476085,-0.37997471372046177,0.23502406596810027,1.827037916912276,0.9877864219583039,0.08860938753758793,0.03654901001357906,2.0762785801146335,0.9064114540586109,0.49421255111196116,0.15684206055417957,-0.05077442150205984,0.015952276421525066,-0.38996626625311,0.23877168877546626,1.7336430313791726,1.116982396151795,0.4867963367269419,0.20318985087454763,1.7532193514666448,1.0975727372370137,0.3474749985557883,0.1962204678563364,-0.32919348410619415,0.12255967992557242,-0.14087748960776378,0.2619076366028139
