round,stage,target_client_id,donor_client_id,target_local_seed,target_num_samples,donor_num_samples,target_dominant_class,donor_dominant_class,target_donor_label_cosine,norm_a_all,norm_b_all,norm_s_all,norm_q_all,norm_e_all,dot_a_b_all,dot_s_a_all,dot_s_b_all,dot_q_b_all,dot_q_a_all,response_change_ratio_all,cancellation_coefficient_all,survival_ratio_all,survival_cosine_all,response_cosine_all,cos_q_a_all,e_identity_abs_error_all,e_identity_relative_error_all,norm_a_conv,norm_b_conv,norm_s_conv,norm_q_conv,norm_e_conv,dot_a_b_conv,dot_s_a_conv,dot_s_b_conv,dot_q_b_conv,dot_q_a_conv,response_change_ratio_conv,cancellation_coefficient_conv,survival_ratio_conv,survival_cosine_conv,response_cosine_conv,cos_q_a_conv,e_identity_abs_error_conv,e_identity_relative_error_conv,norm_a_classifier,norm_b_classifier,norm_s_classifier,norm_q_classifier,norm_e_classifier,dot_a_b_classifier,dot_s_a_classifier,dot_s_b_classifier,dot_q_b_classifier,dot_q_a_classifier,response_change_ratio_classifier,cancellation_coefficient_classifier,survival_ratio_classifier,survival_cosine_classifier,response_cosine_classifier,cos_q_a_classifier,e_identity_abs_error_classifier,e_identity_relative_error_classifier
1,rounds_1_150,81,36,10180796,689,884,6,9,0.090144512448436,1.7919614722920705,2.127113246482132,1.651167636359738,2.281174363341246,3.07551643624494,0.08120176885077468,0.36686200278781494,-0.05358117528173247,-0.13478294413250716,-2.8442639153913496,1.0724273223881726,0.029788848407464756,1.4458639855359363,0.6710251872225095,-0.027777032331783948,-0.6957973035480035,1.447304498469748e-09,7.438578658538663e-11,1.5869364358255984,1.949099733127195,1.3979599161991232,2.095709744701222,2.858825049138029,0.04339988526824845,0.040329922307326106,0.03434566456418401,-0.00905422070406444,-2.4780373290435276,1.075219348236635,0.0023833232656573955,1.466741286014771,0.6801585843710245,-0.002216592613931341,-0.7451044890234408,7.249809641507454e-10,4.425478748679249e-11,0.8316982772408882,0.8509496175989729,0.8782002740788604,0.9000355270848586,1.132622914754727,0.03767597349351259,0.32644689787136366,-0.0879962934887663,-0.1256722669822789,-0.3652751264940976,1.0576836847572548,0.17355285182663333,1.3310105455485362,0.620917055043145,-0.16408767037610572,-0.48797171067034373,7.147058500578396e-10,2.329277601434083e-10
1,rounds_1_150,93,33,10192760,668,964,8,5,0.0532877320162698,1.732630051291492,2.128030076957248,1.5158073671042516,2.1125770286303958,2.917673045950492,0.007094422818411328,0.4183485834545245,-0.23224443003206155,-0.23933885285047288,-2.5836583111838336,0.992738331805466,0.05285154426104811,1.3710675791398168,0.6908109200081705,-0.05323814198342523,-0.7058569283246061,1.564536944442807e-09,8.700094750559754e-11,1.5583762730349042,1.956192028307016,1.170902938287142,1.9276436506407615,2.726705769159716,0.02638589454025775,0.04187012769598947,-0.02740057733171864,-0.05378647187197639,-2.3866664806621687,0.9854061476311394,0.014055622614395752,1.3938845111844873,0.7073357724219017,-0.014263786204484995,-0.7944977183531794,1.5472956249595882e-10,1.0257183823620729e-11,0.7566106090924526,0.8367880670421998,0.962318906294768,0.8635839445406622,1.0367970710574914,-0.019347468907202514,0.3763700309676005,-0.20486913413266494,-0.18552166522546243,-0.19608958282365158,1.0320222987801178,0.2649498494970703,1.2390199046722365,0.5932512849318397,-0.2567288030600203,-0.30010797503449144,1.4083127997110978e-09,4.869713279583291e-10
1,rounds_1_150,17,81,10116988,828,689,6,6,0.9416849740573944,1.4713777886359332,1.7919614722920705,1.2203540501539156,1.791893144239041,2.4456187960054048,0.17724701172201396,0.2216677821236793,-0.04323081929076185,-0.2204778310127758,-1.9432848147674897,0.9999618696863264,0.06866059962475574,1.3647719740744488,0.6824139255987091,-0.06866321777478733,-0.737055435578335,1.1495639995473539e-09,8.950192728456577e-11,1.3247975286993958,1.5869364358255984,1.0820832736637132,1.6860543115167788,2.289047862294327,0.06514130427916998,0.04160678090324305,0.004438166009617171,-0.06070313826955281,-1.7134817111447835,1.0624586300078331,0.024104164409297975,1.4424319781298975,0.6765628122415476,-0.022687155742826676,-0.7671113419421237,3.218376676272783e-10,3.0015750742514424e-11,0.6396936233891415,0.8316982772408882,0.563779362751876,0.6058654786039356,0.8597675697534778,0.11205878668264568,0.1799910617528322,-0.04773857717096658,-0.15979736385361226,-0.22921687005189662,0.7284678773339052,0.2310138440368434,1.0337493695498658,0.7438806529071961,-0.31712289755633855,-0.5914231889756938,8.224112502119851e-10,3.8837133182847685e-10
1,rounds_1_150,69,17,10168832,500,828,0,6,0.3022728130722262,1.6327364134338442,1.4713777886359332,1.541420193446618,2.115427250550924,2.4984642001797246,0.1515307232571197,0.2833859780721899,-0.04730012157214598,-0.19883084482926566,-2.382442217680623,1.4377186246042686,0.0918407382751858,1.6980439826375047,0.5348267011989914,-0.0638794940146685,-0.6897761965299208,2.6369129102477018e-11,1.9856316623370863e-12,1.438643287951182,1.3247975286993958,1.3329485631028288,1.944651990753708,2.346388323712673,0.022517283166624935,0.032387508351262,0.006906437432569715,-0.015610845734055221,-2.0373070016157255,1.4678861853424856,0.008894620302500418,1.7711297559682282,0.5595893673841471,-0.006059475449334743,-0.7282180868372199,6.710898503570206e-11,6.060312056785052e-12,0.7715640645476987,0.6396936233891415,0.77362734166542,0.8318243252775526,0.8571981329732828,0.12896500820426932,0.2509393306751072,-0.05421049218972762,-0.18317550039399694,-0.34437177502625804,1.30034800233038,0.4476342860367795,1.340013565293628,0.41220904643766376,-0.3442419146525123,-0.5365669769322503,3.26915161608099e-11,1.4844400734886237e-11
1,rounds_1_150,36,69,10135931,884,500,9,0,0.0717828295748651,2.127113246482132,1.6327364134338442,2.042311625798916,2.763013936873317,3.163021706738592,0.010199066971378734,0.5307007624384911,-0.1374848800739766,-0.14768394704535534,-3.993910000921265,1.6922596410172301,0.055398899029069026,1.937251892414386,0.4875984917963766,-0.032736642585039916,-0.6795549597547926,2.8122926210016885e-10,1.3651807566251017e-11,1.949099733127195,1.438643287951182,1.7876840148304298,2.6220085254597314,2.9888636905152364,0.02025436730864527,0.0599375994866158,0.01459583866210363,-0.005658528646541641,-3.7390521701898876,1.8225563956120199,0.0027339921999560684,2.077557178730367,0.48001856122655134,-0.001500086475534265,-0.7316331304108507,2.2293811241524963e-10,1.2462129873455039e-11,0.8509496175989729,0.7715640645476987,0.9868572744820876,0.8699231594141823,1.0334162273789695,-0.010089571238482642,0.47061811430244993,-0.15215372626006096,-0.14206415502157832,-0.2534971373893883,1.1274801398690633,0.23863850961457467,1.3393783806983963,0.5684439149961688,-0.2116565083286418,-0.342443020475586,6.682077113850937e-11,2.4710408846689222e-11
2,rounds_1_150,82,35,10281796,609,307,5,2,0.2244644279816487,2.0915982136499305,1.99757462593817,1.7445914811298389,2.5068644758524163,3.1608565878939023,0.014038652180984101,0.5670065115417875,-0.12779110586984002,-0.14182975805082412,-3.8077765758017925,1.2549541044931205,0.03554359375229854,1.5823471858576457,0.6095099829339652,-0.028322624409164904,-0.72621019170558,1.1488978657325788e-09,5.59092132018069e-11,1.919510471784099,1.84662466183374,1.497534345512752,2.3896305927799215,3.0059555062917678,0.035563436049393715,0.10839759866470144,-0.006730816554161715,-0.04229425260355543,-3.576122852624113,1.2940532216259715,0.012402924275764502,1.627810766540281,0.6067026315492776,-0.009584555000126106,-0.7796347254086031,6.293845444815815e-10,3.450438089758317e-11,0.8298576214104626,0.7609094172949401,0.8944266066029523,0.7562008342701728,0.9755996277796696,-0.02160597356171501,0.45841146233069885,-0.12112007798355466,-0.09951410442183965,-0.23025220948233183,0.993811900710197,0.17187737831807148,1.2821494984882178,0.6458861643344771,-0.17294759520915845,-0.3669129728608603,5.115217138751404e-10,2.2224172776247802e-10
2,rounds_1_150,44,11,10243910,631,564,2,7,0.2184315664579867,2.036335640473068,1.9358068886600024,1.9483428559214009,2.650335051245215,3.2382731480760447,0.07587376034832749,0.4592134205109236,-0.0667318455595899,-0.14260560590791738,-3.6874494201499375,1.369111282107184,0.038055070973889146,1.6728286106666512,0.5750409353907207,-0.02779545495770001,-0.6832441614842801,6.763212212490544e-10,3.1393650998534755e-11,1.8946525537087036,1.7471422850093474,1.7755404275482205,2.557067089638234,3.081532346746758,0.05688372244762396,0.10183000411103998,0.009255391757322233,-0.04762833069030173,-3.487878295163872,1.463571176531025,0.015603025229221343,1.7637558046569008,0.558125434468674,-0.010660926833913079,-0.7199289205071899,4.4855141823063605e-10,2.3383735930326563e-11,0.7454197602320305,0.8327811999369702,0.8014464556386348,0.695298421935779,0.9935975183981072,0.018781695606414406,0.3572635723268617,-0.07608250081015851,-0.09486419641657291,-0.19838704661751616,0.8349112852072108,0.13678564020113906,1.193107527491385,0.7235008915029194,-0.1638325443968471,-0.38277288652067515,1.1148216794154564e-09,4.736004158738179e-10
2,rounds_1_150,11,87,10211009,564,421,7,2,0.6884839144423057,1.9358068886600024,1.854693352744354,1.7940146931537475,2.450148446203046,3.0026310779118783,0.23662690523551744,0.48130481050192686,0.022966180319387432,-0.21366072491613,-3.266043499681592,1.3210531231902074,0.06211270836486365,1.618936668678379,0.5793230271328537,-0.047017570508344014,-0.6886008209426174,1.2707861429817058e-09,6.728638613660485e-11,1.7471422850093474,1.6989703251636843,1.611473156484164,2.3224516607295578,2.851067707670514,0.10812505589307442,0.1277850908556187,0.0322776518413228,-0.07584740405175161,-2.9247210732120648,1.3669760008938385,0.02627659785048975,1.6781150709008605,0.5802482910941188,-0.01922242806992076,-0.7207912337114111,3.871711840019998e-10,2.3379106503775778e-11,0.8327811999369702,0.7431775688838337,0.7877359419381426,0.7793873967946937,0.9403390740266876,0.12836928388004132,0.35330386345361164,-0.00939073518414645,-0.13776001906418778,-0.34022066351484825,1.0487229828064415,0.24942386705168054,1.2652952852693975,0.5932023470620238,-0.23783579757564605,-0.5241751113676149,9.047508298110074e-10,3.900603108297026e-10
2,rounds_1_150,3,26,10203033,566,500,1,6,0.2419410408040421,1.9164654025447017,1.7301754923302917,1.6191453813853292,2.327941616047178,2.81704841025746,0.167898767378583,0.43757961874396034,-0.07063006097433837,-0.23852882835292138,-3.235260020406865,1.345494504093214,0.07968206177121762,1.6281865179255952,0.5652410998964181,-0.059221395203630914,-0.7251638121744998,4.552092036647082e-10,2.7054497541276223e-11,1.7687320409094605,1.5432584081460368,1.449555622297922,2.2242454100500977,2.677599535043107,0.07691753284213032,0.14117844527316742,-0.002769911622821704,-0.07968744446495202,-2.987234587266578,1.4412657000988909,0.03345897217997677,1.7350299346561078,0.5570745544581033,-0.023214992334641013,-0.7593195519511255,5.506004541189213e-10,3.75635764176599e-11,0.7370030436456786,0.7815827986987212,0.7207184771854801,0.685677939208367,0.8736961343993672,0.09089886839325012,0.29622718669125914,-0.06794161769542896,-0.15884048608867907,-0.24694629965173487,0.8772940504191893,0.26002267509148475,1.11785486560606,0.6619618947646899,-0.29639170010014376,-0.48866705945088384,9.700340530827134e-11,4.4866364735641456e-11
2,rounds_1_150,1,38,10201039,189,121,6,7,0.2087355764144753,1.237557264536773,1.1657486469550986,1.125591353425346,1.5468176608749107,1.8189966087072076,0.05017090391624435,0.20292950095955622,-0.17126215693405217,-0.22143306085029651,-1.3286184820481841,1.3268878028854274,0.16294184261674877,1.5603677632038206,0.5364492763325,-0.12280001539121714,-0.6940581585357924,3.167417439442488e-10,4.221405477083092e-11,1.1179455841883117,1.006623143043195,0.9039570920768027,1.4151605826960334,1.716437011768135,0.01727375908573503,0.03213063935275896,-0.017633046646841732,-0.03490680573257676,-1.2176716898533866,1.4058494407527324,0.03444897363295587,1.7051436017843287,0.5662578948521719,-0.024504027696245264,-0.769668691616732,9.405942691387281e-11,1.5593563356137934e-11,0.5303774398405379,0.5876403408737455,0.6704384210962583,0.6239072790664112,0.6013014969505585,0.03289754878386014,0.1707638061508972,-0.1536114378481469,-0.18650898663200705,-0.11053642254090618,1.0617162159744538,0.5401029612867053,1.0232474783070553,0.44944849458528463,-0.5087074617118789,-0.3340414110754059,4.047321366940082e-10,2.7548485560584707e-10
