run,stage,scope,metric,n,mean,std,median,q05,q25,q75,q95,sem,ci95_low,ci95_high,positive_fraction,t_statistic_vs_zero,p_value_vs_zero
probe_0.2,overall,all,norm_WA_minus_Wt,1000,0.9985194782403032,0.7867471658950925,0.8646632631774702,0.22930078410469412,0.5324984210032842,1.2368622823577626,2.09660776446433,0.024879129869108372,0.9496981301812282,1.0473408262993782,1.0,40.13482318286916,1.5627122527152678e-210
probe_0.2,overall,all,norm_WB_minus_Wt,1000,1.0056000508459604,0.7605125910780368,0.8731046465049987,0.25049950584288894,0.5731762974826585,1.2238798420689698,1.9976660614895922,0.02404951977042846,0.9584066810801,1.0527934206118208,1.0,41.81372686212457,1.1025148944223711e-221
probe_0.2,overall,all,norm_WBA_minus_WB,1000,1.4111743049903867,0.6500687943303244,1.370833892046922,0.4869315606727472,1.1288492852072662,1.6580258235031733,2.2117093847546188,0.020556980258833776,1.3708344903127754,1.451514119667998,1.0,68.64696503193724,0.0
probe_0.2,overall,all,norm_WB_minus_WA,1000,1.4872181870609673,0.9801464745944037,1.2990483573589895,0.44988167234911386,0.916885473842395,1.8376217335512681,2.9172851990623223,0.03099495300302677,1.4263955056972453,1.5480408684246894,1.0,47.982592098647,1.5066560379533023e-261
probe_0.2,overall,all,norm_WBA_minus_WA,1000,1.8750409654972395,1.0456775176040496,1.754449233577752,0.5657519223473908,1.3489131068155322,2.1932985968657244,3.2420744602058247,0.033067226536596134,1.8101517758597847,1.9399301551346944,1.0,56.70390782311591,0.0
probe_0.2,overall,all,recovery_pull_score,1000,-0.3487180694692024,0.40644552468676104,-0.2167595118256821,-1.1379638074932672,-0.47486000806580064,-0.09988555964511085,-0.0028798590240488066,0.0128529360279236,-0.37393991873409277,-0.32349622020431207,0.047,-27.131393847413246,6.705874792767891e-122
probe_0.2,overall,all,cos_WBA_minus_WB__WA_minus_Wt,1000,0.24979681912571033,0.1434747738689376,0.2175477462680102,0.08931059978928864,0.15385964255187534,0.2985941633147382,0.5274931966293015,0.004537070722034513,0.24089353713576733,0.25870010111565334,0.999,55.056849326275525,7.638998857470931e-305
probe_0.2,overall,all,cos_WBA_minus_WB__WB_minus_Wt,1000,-0.07497127658739106,0.04110649983065486,-0.0681984939441066,-0.15631393800906496,-0.09638679035340944,-0.047317558155773425,-0.02029143388863439,0.0012999016610219514,-0.07752212751221067,-0.07242042566257144,0.008,-57.67457557400953,0.0
probe_0.2,overall,all,cos_WBA_minus_Wt__WA_minus_Wt,1000,0.22473204772578867,0.13653593280197737,0.1956299538545762,0.07102565209887345,0.13841553675396395,0.2709573228523016,0.4810108403350017,0.004317645301099441,0.21625935333697321,0.23320474211460412,0.996,52.04967801976765,9.074719973886605e-287
probe_0.2,overall,all,cos_WBA_minus_Wt__WB_minus_Wt,1000,0.49804169079552424,0.19767069236476784,0.48956574261350166,0.17266805563464,0.35371159736218794,0.6315078600254753,0.8363888290121815,0.006250896145351216,0.48577529812026227,0.5103080834707862,1.0,79.67524643101251,0.0
probe_0.2,overall,conv,norm_WA_minus_Wt,1000,0.9742725296635963,0.7660137647126278,0.8448318378002906,0.22465696083858286,0.5266874615685293,1.2071904384867342,2.064186725218543,0.024223482155322204,0.9267377862971813,1.0218072730300114,1.0,40.22016832330345,4.2095672700741095e-211
probe_0.2,overall,conv,norm_WB_minus_Wt,1000,0.9815906858346085,0.7384187762208914,0.8544553309022318,0.2473052424786498,0.5651035805554285,1.2056738939084826,1.9381129636017862,0.023350851998921986,0.935768340804333,1.0274130308648841,1.0,42.03661116433459,3.723009087307232e-223
probe_0.2,overall,conv,norm_WBA_minus_WB,1000,1.359008828485709,0.6344036867729154,1.301346513075798,0.47416550040708394,1.0601118488981576,1.5996610848006652,2.153541145893003,0.020061606062104484,1.319641107133115,1.3983765498383027,1.0,67.74177622063961,0.0
probe_0.2,overall,conv,norm_WB_minus_WA,1000,1.4535587735588025,0.9515474450470848,1.2677828815381078,0.4424027493762581,0.89719239725323,1.7994234778429576,2.7980066518239735,0.030090572280626948,1.3945107959832954,1.5126067511343095,1.0,48.30611927226919,1.3795538315130226e-263
probe_0.2,overall,conv,norm_WBA_minus_WA,1000,1.8477169516445606,1.0262942704624314,1.734083855273047,0.563139229752843,1.331774142347731,2.168980053314209,3.1778063434810284,0.032454274442421514,1.7840305833151933,1.911403319973928,1.0,56.93293051190137,0.0
probe_0.2,overall,conv,recovery_pull_score,1000,-0.3576849469559909,0.4074629014724684,-0.22597828258230773,-1.1525298577667065,-0.47591293758302433,-0.11547878917918794,-0.005208972103364781,0.012885108306737763,-0.38296992921749745,-0.33239996469448435,0.041,-27.75956076123579,3.566055884668613e-126
probe_0.2,overall,conv,cos_WBA_minus_WB__WA_minus_Wt,1000,0.23386499091899846,0.14551665077758652,0.19929209773152173,0.07538976096849596,0.13957808629556392,0.28327136734075764,0.5167705390959817,0.004601640539364855,0.2248350008993703,0.2428949809386266,0.999,50.82209027810717,2.9997895650294676e-279
probe_0.2,overall,conv,cos_WBA_minus_WB__WB_minus_Wt,1000,-0.06056422100772617,0.028222301430022537,-0.05834799522305485,-0.10929212868157728,-0.07780813465567726,-0.04206859039086875,-0.018164722981004376,0.0008924675333069837,-0.06231554705104996,-0.058812894964402375,0.008,-67.86153977311551,0.0
probe_0.2,overall,conv,cos_WBA_minus_Wt__WA_minus_Wt,1000,0.2090375717849691,0.13924229094347104,0.1774198741364379,0.05468419552222412,0.12184640475649408,0.2548967834141358,0.4728089549369913,0.004403227860012043,0.20039693519244955,0.21767820837748864,0.996,47.47371211091432,2.483418970523918e-258
