run,stage,scope,metric,n,mean,std,median,q05,q25,q75,q95,sem,ci95_low,ci95_high,positive_fraction,t_statistic_vs_zero,p_value_vs_zero
probe_0.2,rounds_1_150,all,recovery_pull_score,300,-0.16300954518487606,0.14692218239725452,-0.11752243188896705,-0.4485747770410679,-0.19563035158845798,-0.07926915572036393,-0.029971974900080845,0.008482556155698219,-0.17970261911319022,-0.14631647125656191,0.013333333333333334,-19.21703106856218,3.728576455869716e-54
probe_0.2,rounds_1_150,all,cos_WBA_minus_WB__WA_minus_Wt,300,0.2301929059533442,0.07040395246263711,0.22408220411655838,0.12719720976745263,0.1808173052612791,0.27178793323223727,0.35471525102940343,0.004064774090631715,0.22219371642234062,0.2381920954843478,1.0,56.631168380029074,6.99475143153976e-162
probe_0.2,rounds_1_150,all,cos_WBA_minus_WB__WB_minus_Wt,300,-0.08167180380384984,0.042611044666982706,-0.07239275462251216,-0.16177332958319027,-0.1052573601581924,-0.054196734212295296,-0.02824281361985907,0.002460149810893363,-0.08651320560705318,-0.07683040200064649,0.0033333333333333335,-33.19789853537092,2.6987361835968775e-102
probe_0.2,rounds_1_150,all,cos_WBA_minus_Wt__WA_minus_Wt,300,0.19213288414741292,0.07045258426302509,0.18756361848162145,0.09067254541343689,0.1467884274499496,0.23113453959274222,0.3158845747428062,0.004067581848936232,0.1841281691455383,0.20013759914928753,1.0,47.23516115543197,1.0791060123670105e-140
probe_0.2,rounds_1_150,all,cos_WBA_minus_Wt__WB_minus_Wt,300,0.5939309380117224,0.16741011019374868,0.6045115702255227,0.3106815466927683,0.4774820739317904,0.7171829389958069,0.8461383469592446,0.00966542721854257,0.5749100570241575,0.6129518189992872,1.0,61.44901043507934,1.200173817502502e-171
probe_0.2,rounds_1_150,conv,recovery_pull_score,300,-0.17898844450871124,0.14872211007436983,-0.13399615168497253,-0.4826987509659354,-0.21316878825879917,-0.093807112930385,-0.04971175106914584,0.008586475028588657,-0.19588602347016235,-0.16209086554726013,0.0,-20.84539277325904,3.2306299722648065e-60
probe_0.2,rounds_1_150,conv,cos_WBA_minus_WB__WA_minus_Wt,300,0.19664892286727895,0.07323763208645935,0.19389208530813434,0.07855075236365791,0.1529837788821535,0.24302529266161774,0.313641494346141,0.004228376659992808,0.1883277749860943,0.2049700707484636,1.0,46.50695495694403,6.4514683594889655e-139
probe_0.2,rounds_1_150,conv,cos_WBA_minus_WB__WB_minus_Wt,300,-0.05689113636226594,0.02465083508756015,-0.0559052082669067,-0.09876178412193823,-0.07071148711322955,-0.04130596193592917,-0.01935957115711918,0.0014232166273551923,-0.0596919265887458,-0.05409034613578608,0.006666666666666667,-39.973631047290745,5.574689690939506e-122
probe_0.2,rounds_1_150,conv,cos_WBA_minus_Wt__WA_minus_Wt,300,0.16123017939384104,0.07361398680055342,0.15915061259175314,0.052191734640463894,0.1111752337223869,0.20207396217084794,0.28700213421657284,0.004250105509542107,0.15286627066495367,0.16959408812272841,1.0,37.93557101861489,2.665740700160054e-116
probe_0.2,rounds_1_150,conv,cos_WBA_minus_Wt__WB_minus_Wt,300,0.6165289708522548,0.16987978735396372,0.6281396465384161,0.3146936581162829,0.5035392659911535,0.7426130048520251,0.859292707863513,0.009808014095868733,0.5972274889183804,0.6358304527861292,1.0,62.85971500713329,2.2025101105354873e-174
probe_0.2,rounds_1_150,classifier,recovery_pull_score,300,0.10729784448025605,0.1418232000144026,0.1302001486476086,-0.13375847558256068,0.038213977984720524,0.19385198456689023,0.29850505182160497,0.008188166270564947,0.09118410914116849,0.1234115798193436,0.83,13.104013882323493,2.6045338285583057e-31
probe_0.2,rounds_1_150,classifier,cos_WBA_minus_WB__WA_minus_Wt,300,0.5419225160264535,0.14913609555205315,0.5640931519557688,0.2553976881856962,0.451199634891126,0.6409715889935288,0.7630610465937835,0.008610376491286762,0.5249779006674247,0.5588671313854823,1.0,62.93830665533032,1.5560711621065159e-174
probe_0.2,rounds_1_150,classifier,cos_WBA_minus_WB__WB_minus_Wt,300,-0.31489305411254337,0.17741665172675,-0.33785019972948194,-0.585536953575435,-0.4532641223132644,-0.19737929625855782,-0.014220697786622973,0.010243155163316118,-0.33505086306327636,-0.2947352451618104,0.05,-30.741802607879258,1.4358977072791075e-94
probe_0.2,rounds_1_150,classifier,cos_WBA_minus_Wt__WA_minus_Wt,300,0.5804010845306593,0.1292373178679256,0.5941383119753267,0.35261423417647075,0.5062450753621823,0.6807353672044438,0.7616028166433426,0.007461520026039207,0.565717337895089,0.5950848311662296,1.0,77.78590454829258,1.8876638488273712e-200
probe_0.2,rounds_1_150,classifier,cos_WBA_minus_Wt__WB_minus_Wt,300,0.3122948371116042,0.26144895502109544,0.3071092804404245,-0.08236658216940834,0.10452582837204082,0.4924178115914622,0.7676743605297062,0.01509476245607758,0.2825894062267906,0.34200026799641786,0.8633333333333333,20.68895340488551,1.225454778606946e-59
probe_0.2,rounds_151_300,all,recovery_pull_score,300,-0.32608761272182923,0.264830375791532,-0.2600454567245146,-0.8475622600479188,-0.40917731238863825,-0.15375088720973779,-0.05443380346461708,0.015289988875283074,-0.35617723546918284,-0.29599798997447563,0.01,-21.32687050210768,5.401449516637454e-62
probe_0.2,rounds_151_300,all,cos_WBA_minus_WB__WA_minus_Wt,300,0.23631279792336773,0.10877303844284113,0.21240109759539474,0.09916735652502119,0.15246354964339293,0.2898171921990872,0.44905446609716465,0.006280014302554783,0.22395417145521343,0.24867142439152204,1.0,37.62934072096506,1.9798541065009856e-115
probe_0.2,rounds_151_300,all,cos_WBA_minus_WB__WB_minus_Wt,300,-0.08113106762574276,0.040157718475914775,-0.07495614131545314,-0.16097617403175346,-0.09931607182068393,-0.05439009188344977,-0.028409855323086215,0.00231850695721106,-0.08569372625477358,-0.07656840899671195,0.0,-34.99280749337737,9.747038902734428e-108
probe_0.2,rounds_151_300,all,cos_WBA_minus_Wt__WA_minus_Wt,300,0.21757383515411083,0.10472335730295525,0.1982270438403559,0.07612870807243285,0.1425484896461221,0.2715916389291236,0.41454895572937084,0.006046205852930257,0.20567532727085086,0.2294723430373708,1.0,35.98518483267734,1.1273715494090666e-110
probe_0.2,rounds_151_300,all,cos_WBA_minus_Wt__WB_minus_Wt,300,0.48365662918782276,0.18567065218886972,0.4668937687171806,0.1839520184575642,0.3651688019595617,0.5978267512456992,0.8300872386031112,0.010719700102185729,0.4625610133132452,0.5047522450624004,1.0,45.118485086089855,1.8038673168270764e-135
probe_0.2,rounds_151_300,conv,recovery_pull_score,300,-0.3349563844518227,0.2696258593632173,-0.26735453286204236,-0.850828435329636,-0.4158567682058314,-0.1553828039922435,-0.06164168106332377,0.015566856248383767,-0.3655908627170974,-0.304321906186548,0.006666666666666667,-21.517278704658146,1.076835787777515e-62
probe_0.2,rounds_151_300,conv,cos_WBA_minus_WB__WA_minus_Wt,300,0.2247290304070353,0.10675537364004899,0.20503117932120207,0.08893767821626641,0.1458219387787541,0.2816002075807816,0.4314624871136944,0.0061635243708521355,0.21259964793162606,0.23685841288244452,1.0,36.46112465617873,4.586550525717985e-112
probe_0.2,rounds_151_300,conv,cos_WBA_minus_WB__WB_minus_Wt,300,-0.06727973799475598,0.02708403478166338,-0.06540135006480445,-0.11139868911325976,-0.08465853610858526,-0.04844465178580387,-0.025572605987208067,0.0015636974771934538,-0.07035698465356811,-0.06420249133594384,0.0,-43.02605777398234,3.9996001950234404e-130
probe_0.2,rounds_151_300,conv,cos_WBA_minus_Wt__WA_minus_Wt,300,0.20481570652932982,0.10337389189175102,0.18790136392744375,0.06189235565599585,0.13352102396782498,0.25715167731405075,0.4107546598026217,0.005968294431088172,0.193070522844672,0.21656089021398764,1.0,34.317292635977864,1.0403585040867367e-105
probe_0.2,rounds_151_300,conv,cos_WBA_minus_Wt__WB_minus_Wt,300,0.4966159200638059,0.1858427811767237,0.482203914520024,0.19828713059561218,0.37167891880750614,0.612325565524848,0.8315256905258541,0.010729637973933014,0.4755007471565694,0.5177310929710424,1.0,46.28449918536891,2.272961826109119e-138
probe_0.2,rounds_151_300,classifier,recovery_pull_score,300,-0.0772817522177394,0.243608895184215,-0.07231278265299321,-0.477220280316557,-0.23173037820359652,0.07630628344041462,0.2935789463597321,0.014064766121159384,-0.10496022275603864,-0.04960328167944017,0.4066666666666667,-5.4947058167909955,8.384224744848514e-08
probe_0.2,rounds_151_300,classifier,cos_WBA_minus_WB__WA_minus_Wt,300,0.46807123051776056,0.2125182572685457,0.48738201496507866,0.07627458143552142,0.3343321978326016,0.6256045947827973,0.7612171132948432,0.012269747304170499,0.4439252307659449,0.4922172302695762,0.9733333333333334,38.14840020043955,6.657634310197047e-117
probe_0.2,rounds_151_300,classifier,cos_WBA_minus_WB__WB_minus_Wt,300,-0.32644049924343627,0.19167642506929425,-0.31849760065262933,-0.6454376532516386,-0.47176337830400933,-0.18558741872514511,-0.027070969633979213,0.011066443561106216,-0.34821848185837795,-0.3046625166284946,0.04666666666666667,-29.498230162283946,1.5626915702650933e-90
probe_0.2,rounds_151_300,classifier,cos_WBA_minus_Wt__WA_minus_Wt,300,0.5323389702847038,0.17014949930796935,0.5423099842144932,0.2548716421043986,0.41096778826691366,0.6723895530641624,0.7736264495358408,0.009823585922793613,0.5130068440906224,0.5516710964787852,1.0,54.18988284609192,1.1491632555224599e-156
