round,transplant_probe_0.2,transplant_probe_0.5,pure_fedavg
1,11.31999969482422,11.31999969482422,10.1
2,14.949999809265137,14.949999809265137,12.74
3,20.15999984741211,20.15999984741211,14.13
4,18.1200008392334,18.1200008392334,21.1
5,39.68000030517578,39.68000030517578,39.200001
6,25.229999542236328,25.229999542236328,25.530001
7,37.66999816894531,37.66999816894531,35.860001
8,26.979999542236328,26.979999542236328,27.450001
9,35.15999984741211,35.15999984741211,37.450001
10,31.809999465942383,31.809999465942383,33.25
11,42.09999847412109,42.09999847412109,45.34
12,39.66999816894531,39.66999816894531,40.439999
13,37.68999862670898,37.68999862670898,44.630001
14,47.43999862670898,47.43999862670898,48.48
15,46.93000030517578,46.93000030517578,47.860001
16,52.43000030517578,52.43000030517578,51.560001
17,52.220001220703125,52.220001220703125,50.029999
18,33.91999816894531,33.91999816894531,39.619999
19,46.02999877929688,46.02999877929688,47.450001
20,42.95000076293945,42.95000076293945,46.130001
21,52.09000015258789,52.09000015258789,52.900002
22,58.4900016784668,58.4900016784668,59.59
23,51.25,51.25,50.73
24,50.290000915527344,50.290000915527344,55.380001
25,54.380001068115234,54.380001068115234,57.349998
26,52.540000915527344,52.540000915527344,54.709999
27,58.459999084472656,58.459999084472656,55.59
28,54.560001373291016,54.560001373291016,54.580002
29,51.29999923706055,51.29999923706055,51.380001
30,59.25,59.25,57.099998
31,58.79999923706055,58.79999923706055,59.209999
32,57.90999984741211,57.90999984741211,61.259998
33,59.369998931884766,59.369998931884766,58.990002
34,66.4000015258789,66.4000015258789,66.949997
35,55.040000915527344,55.040000915527344,56.439999
36,56.47999954223633,56.47999954223633,57.32
37,62.59999847412109,62.59999847412109,64.279999
38,61.83000183105469,61.83000183105469,60.810001
39,57.9900016784668,57.9900016784668,59.299999
40,65.41999816894531,65.41999816894531,66.279999
41,65.5999984741211,65.5999984741211,67.559998
42,62.93000030517578,62.93000030517578,60.830002
43,59.93000030517578,59.93000030517578,61.240002
44,65.04000091552734,65.04000091552734,60.610001
45,56.880001068115234,56.880001068115234,57.310001
46,66.87999725341797,66.87999725341797,66.220001
47,63.02000045776367,63.02000045776367,62.959999
48,63.18999862670898,63.18999862670898,63.68
49,62.68000030517578,62.68000030517578,61.099998
50,63.0099983215332,63.0099983215332,62.91
51,60.20000076293945,60.20000076293945,60.389999
52,64.29000091552734,64.29000091552734,64.129997
53,59.650001525878906,59.650001525878906,63.689999
54,51.130001068115234,51.130001068115234,53.990002
55,67.79000091552734,67.79000091552734,66.779999
56,66.66999816894531,66.66999816894531,65.800003
57,62.59999847412109,62.59999847412109,62.220001
58,52.59000015258789,52.59000015258789,49.759998
59,62.90999984741211,62.90999984741211,63.470001
60,66.70999908447266,66.70999908447266,67.059998
61,67.83999633789062,67.83999633789062,67.239998
62,65.02999877929688,65.02999877929688,66.099998
63,64.5999984741211,64.5999984741211,66.260002
64,64.80000305175781,64.80000305175781,64.800003
65,66.02999877929688,66.02999877929688,65.279999
66,66.43000030517578,66.43000030517578,66.309998
67,62.04999923706055,62.04999923706055,64.410004
68,58.290000915527344,58.290000915527344,58.860001
69,69.3499984741211,69.3499984741211,69.050003
70,62.59000015258789,62.59000015258789,62.830002
71,61.400001525878906,61.400001525878906,61.630001
72,65.08000183105469,65.08000183105469,66.099998
73,66.41000366210938,66.41000366210938,66.980003
74,66.69000244140625,66.69000244140625,66.099998
75,71.66000366210938,71.66000366210938,71.260002
76,62.0,62.0,61.540001
77,67.20999908447266,67.20999908447266,65.019997
78,65.87999725341797,65.87999725341797,67.150002
79,66.58999633789062,66.58999633789062,66.650002
80,64.58000183105469,64.58000183105469,68.160004
81,66.12000274658203,66.12000274658203,65.290001
82,66.1500015258789,66.1500015258789,66.760002
83,68.51000213623047,68.51000213623047,67.410004
84,64.93000030517578,64.93000030517578,64.449997
85,67.08999633789062,67.08999633789062,66.650002
86,64.4800033569336,64.4800033569336,66.860001
87,66.06999969482422,66.06999969482422,66.279999
