run,metric,stage_left,stage_right,common_targets,pearson_r,pearson_p,spearman_r,spearman_p
probe_0.5,recovery_pull_score_all,rounds_1_150,rounds_301_500,100,0.4460667317841811,,0.39084308430843084,
probe_0.5,recovery_pull_score_all,rounds_151_300,rounds_301_500,100,0.5219336108222976,,0.5351815181518151,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_1_150,rounds_151_300,100,0.40738868044564824,,0.3435103510351035,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_1_150,rounds_301_500,100,0.4579287620927259,,0.3446264626462646,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_all,rounds_151_300,rounds_301_500,100,0.4369868280080905,,0.3991719171917192,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_all,rounds_1_150,rounds_151_300,100,0.3036208419727259,,0.2125052505250525,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_all,rounds_1_150,rounds_301_500,100,0.20364840441903503,,0.12374437443744374,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_all,rounds_151_300,rounds_301_500,100,0.09658920195876063,,0.010957095709570958,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_all,rounds_1_150,rounds_151_300,100,0.12534378829404758,,0.12498049804980498,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_all,rounds_1_150,rounds_301_500,100,0.16329754003306232,,0.12633663366336634,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_all,rounds_151_300,rounds_301_500,100,0.3932205603931389,,0.37796579657965795,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_all,rounds_1_150,rounds_151_300,100,0.5091128922718504,,0.4467086708670867,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_all,rounds_1_150,rounds_301_500,100,0.37377722326735185,,0.24534053405340533,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_all,rounds_151_300,rounds_301_500,100,0.40951168605411425,,0.24402040204020403,
probe_0.5,recovery_pull_score_conv,rounds_1_150,rounds_151_300,100,0.3968343980425382,,0.4632343234323432,
probe_0.5,recovery_pull_score_conv,rounds_1_150,rounds_301_500,100,0.41723116941020755,,0.3515271527152715,
probe_0.5,recovery_pull_score_conv,rounds_151_300,rounds_301_500,100,0.5130769003842346,,0.5184638463846385,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_conv,rounds_1_150,rounds_151_300,100,0.08319330604380315,,0.07373537353735374,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_conv,rounds_1_150,rounds_301_500,100,0.11954943763606767,,0.06251425142514251,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_conv,rounds_151_300,rounds_301_500,100,0.3138110840539692,,0.33282928292829284,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_conv,rounds_1_150,rounds_151_300,100,0.40499366691732036,,0.2909210921092109,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_conv,rounds_1_150,rounds_301_500,100,0.27853078855397556,,0.21585358535853585,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_conv,rounds_151_300,rounds_301_500,100,0.21668531353145223,,0.12375637563756375,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_conv,rounds_1_150,rounds_151_300,100,-0.06351221749838871,,-0.038187818781878186,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_conv,rounds_1_150,rounds_301_500,100,-0.13460814903837115,,-0.1394179417941794,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_conv,rounds_151_300,rounds_301_500,100,0.2709299864134434,,0.28645664566456647,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_conv,rounds_1_150,rounds_151_300,100,0.5447121206703005,,0.49762976297629763,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_conv,rounds_1_150,rounds_301_500,100,0.38489323889566274,,0.25453345334533456,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_conv,rounds_151_300,rounds_301_500,100,0.4213110914605082,,0.2646144614461446,
probe_0.5,recovery_pull_score_classifier,rounds_1_150,rounds_151_300,100,0.5880269850406068,,0.6066006600660065,
probe_0.5,recovery_pull_score_classifier,rounds_1_150,rounds_301_500,100,0.47487552909685576,,0.4660906090609061,
probe_0.5,recovery_pull_score_classifier,rounds_151_300,rounds_301_500,100,0.5871161400974468,,0.5776537653765377,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_classifier,rounds_1_150,rounds_151_300,100,0.7921781909816565,,0.7708730873087308,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_classifier,rounds_1_150,rounds_301_500,100,0.7175797625736496,,0.7102550255025503,
probe_0.5,cos_WBA_minus_WB__WA_minus_Wt_classifier,rounds_151_300,rounds_301_500,100,0.7452690223267142,,0.7415901590159016,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_classifier,rounds_1_150,rounds_151_300,100,0.3101582079220266,,0.27135913591359134,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_classifier,rounds_1_150,rounds_301_500,100,0.15482318451056182,,0.16442844284428443,
probe_0.5,cos_WBA_minus_WB__WB_minus_Wt_classifier,rounds_151_300,rounds_301_500,100,0.11065422195972956,,0.048448844884488446,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_classifier,rounds_1_150,rounds_151_300,100,0.7965578017683937,,0.767032703270327,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_classifier,rounds_1_150,rounds_301_500,100,0.7202883244946953,,0.7033663366336633,
probe_0.5,cos_WBA_minus_Wt__WA_minus_Wt_classifier,rounds_151_300,rounds_301_500,100,0.7972070141584602,,0.7975997599759976,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_classifier,rounds_1_150,rounds_151_300,100,0.12843399168998335,,0.11721572157215722,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_classifier,rounds_1_150,rounds_301_500,100,0.16217551572457056,,0.1307050705070507,
probe_0.5,cos_WBA_minus_Wt__WB_minus_Wt_classifier,rounds_151_300,rounds_301_500,100,0.06947177480440475,,0.09521752175217522,
