run,target_client_id,probe_count,unique_donor_count,recovery_pull_score_all_mean,recovery_pull_score_all_std,cos_WBA_minus_WB__WA_minus_Wt_all_mean,cos_WBA_minus_WB__WA_minus_Wt_all_std,cos_WBA_minus_WB__WB_minus_Wt_all_mean,cos_WBA_minus_WB__WB_minus_Wt_all_std,cos_WBA_minus_Wt__WA_minus_Wt_all_mean,cos_WBA_minus_Wt__WA_minus_Wt_all_std,cos_WBA_minus_Wt__WB_minus_Wt_all_mean,cos_WBA_minus_Wt__WB_minus_Wt_all_std,recovery_pull_score_conv_mean,recovery_pull_score_conv_std,cos_WBA_minus_WB__WA_minus_Wt_conv_mean,cos_WBA_minus_WB__WA_minus_Wt_conv_std,cos_WBA_minus_WB__WB_minus_Wt_conv_mean,cos_WBA_minus_WB__WB_minus_Wt_conv_std,cos_WBA_minus_Wt__WA_minus_Wt_conv_mean,cos_WBA_minus_Wt__WA_minus_Wt_conv_std,cos_WBA_minus_Wt__WB_minus_Wt_conv_mean,cos_WBA_minus_Wt__WB_minus_Wt_conv_std,recovery_pull_score_classifier_mean,recovery_pull_score_classifier_std,cos_WBA_minus_WB__WA_minus_Wt_classifier_mean,cos_WBA_minus_WB__WA_minus_Wt_classifier_std,cos_WBA_minus_WB__WB_minus_Wt_classifier_mean,cos_WBA_minus_WB__WB_minus_Wt_classifier_std,cos_WBA_minus_Wt__WA_minus_Wt_classifier_mean,cos_WBA_minus_Wt__WA_minus_Wt_classifier_std,cos_WBA_minus_Wt__WB_minus_Wt_classifier_mean,cos_WBA_minus_Wt__WB_minus_Wt_classifier_std
probe_0.2,0,13,12,-0.3078414296337323,0.17383677160489422,0.2499867038847975,0.12350810071465505,-0.0753836969502964,0.038020869649917986,0.24429129112072503,0.11355210547972164,0.4841528914553205,0.16629437545270603,-0.32077958496355047,0.17649115330809692,0.23657142646015691,0.12018825176653755,-0.06547406088032995,0.02999245465060959,0.22806053522942366,0.11096120119162774,0.49173215627532796,0.16401046547567819,-0.03737988370860152,0.31873495723456774,0.5460920553573569,0.18723760175360968,-0.24888174472624186,0.1895150487476265,0.6343166898816658,0.13875366003480694,0.2667050186407236,0.3025695001138888
probe_0.2,1,7,6,-0.2555744150875797,0.19606446769803174,0.1786365026463419,0.07508908357781179,-0.08465721759466296,0.026063933331503617,0.15306798152118492,0.08183152455368504,0.6080277144869708,0.19137630439462616,-0.2649882748128966,0.18605284961796695,0.158448541560191,0.09285601109516932,-0.056217741564716116,0.019471858259221576,0.13506006919213986,0.09255366712450551,0.6251779224821747,0.19338826470584922,-0.24463976932355624,0.42253555819638633,0.27819135493818076,0.20220043060110443,-0.3516017260561291,0.15400483307339646,0.3111182093802016,0.2124465370693471,0.3359897543726356,0.33416842266710217
probe_0.2,2,8,8,-0.3324466927531681,0.21214067669261663,0.2234332750400727,0.10466383488136,-0.07055646931788861,0.030230928927629682,0.205049734677589,0.10013259095168373,0.461788301649937,0.10912155864567016,-0.3341958421261959,0.2091926958765248,0.21956351417906336,0.10450712308593076,-0.06008106291264285,0.02327755730794884,0.200464237250746,0.0991523379021127,0.4714500508176016,0.1072744255870719,-0.24731733464294822,0.3807430415607948,0.37822439814746645,0.13743257119300573,-0.3707987344149364,0.1595446817818926,0.4080990539297396,0.15108178233673916,0.12809970872160398,0.23794085475352184
probe_0.2,3,9,9,-0.23707332220299474,0.2213564914217334,0.1489072148316116,0.037699055790744944,-0.07333645195250182,0.039922252134700784,0.1250526998568113,0.05438835230571303,0.6916510682125866,0.19876604456943478,-0.24038266115034634,0.22351377032182676,0.14182658196490877,0.03749802390709035,-0.06278402898388373,0.02670604438045525,0.1175978333177374,0.05254610904578638,0.6960627280271695,0.19794032039562542,-0.10741026087446387,0.15001273455625294,0.33408660682077185,0.19925294151216416,-0.23973623905170502,0.14577682542508577,0.4032717870172046,0.15737462114421105,0.570643944780921,0.25951498838564385
probe_0.2,4,13,13,-0.12892312901092573,0.20500931554532614,0.32509962499334255,0.21553054397013943,-0.05198433136396515,0.027258820816921957,0.27979292487808166,0.22489618715533488,0.5820581917501914,0.2253016396973916,-0.13134244273557352,0.19947164094423675,0.31016763737919933,0.22090052292497303,-0.04213473567750002,0.01714274549446735,0.266865363299497,0.23000737212052522,0.5932873879255627,0.23089905928265622,-0.034740659871365924,0.6342003760185975,0.5663959575319445,0.23089633266158216,-0.23129780341997236,0.163555309273298,0.6007445622934406,0.18722425147783037,0.292685175348271,0.24859819863604987
probe_0.2,5,9,9,-0.6309792050787962,0.8227994037888661,0.22115042205980462,0.10653978464649826,-0.057942632244995435,0.03087171586263182,0.20400383743958755,0.09376167229578924,0.39431957136854806,0.19160165133552987,-0.6343592126165286,0.8145490133041695,0.21188537366668075,0.10757073748763245,-0.04947708132768092,0.025432923656694088,0.19509281707929202,0.09537691409059552,0.40270810054076683,0.1965977014807909,-0.6000495385219735,1.3709302114950996,0.4605130299117901,0.17890597521600246,-0.2581645233738994,0.1833070748034373,0.4771212169736257,0.1834842335256415,0.1413668371043716,0.21044670321225017
probe_0.2,6,7,7,-0.20807314773116645,0.11553965416294848,0.1786782173933937,0.03923537769206501,-0.06644076518689941,0.03762630474737398,0.16408818174528395,0.03919986340947423,0.40510478013725615,0.1621591146198558,-0.21410342249503578,0.11317113931617379,0.16098343422892958,0.04417847177377402,-0.055823560050872155,0.029362009407685907,0.14713221247288572,0.04466020570777814,0.4183520810618432,0.17186299506782277,-0.034244008205401966,0.2390331681013482,0.522930094103917,0.06899956594817092,-0.2587002580199474,0.192686725735037,0.5568682070422092,0.06298517034584636,0.12369787625923796,0.22507612757907153
probe_0.2,7,7,7,-0.503588831979105,0.48610807437746156,0.27510727778333405,0.1225572575818077,-0.09306481119821186,0.04002563039387989,0.25355620858684,0.11170191144833194,0.3999827635459602,0.07344780646944489,-0.5147332613279314,0.4868702288952618,0.26515427619800436,0.12247669818544593,-0.0798733104268584,0.020793081106566053,0.24318178282891867,0.11158797481171877,0.41109158491516784,0.07346282649436969,-0.15092627994708985,0.3766290568498146,0.5153879460764585,0.1599047207903487,-0.3298987943644963,0.2373292747750693,0.5626305038999692,0.16084447801759671,0.1842575924385069,0.3126041626412937
probe_0.2,8,11,10,-0.2666826972967256,0.2251261337517396,0.21571616551872524,0.11176290865299031,-0.06336190271353158,0.04263452595578643,0.2011402417843782,0.10570219303413707,0.5455253148576836,0.20453267565402825,-0.2710958117312789,0.22845968949923998,0.21088788268549516,0.1133584683075934,-0.053551623044399595,0.03428383962965576,0.19269231110627152,0.1063418956858637,0.5536371733764348,0.20301120449547022,-0.12980061785074146,0.25892469789611927,0.34330336882933205,0.1917152585173894,-0.2724839311986766,0.17904272994354348,0.4320369135052495,0.13208004043081112,0.33799168195128426,0.3448144588217584
probe_0.2,9,9,9,-0.7566707221768725,0.6071658358393224,0.19267590683565033,0.05614430967074065,-0.07000825693948116,0.026742106505753215,0.18573660943128606,0.060944339878841326,0.41909598030819434,0.19003970546618132,-0.7783293104678912,0.6218696562025516,0.17924457391342055,0.0667119243358809,-0.05922027500840221,0.024296916247185933,0.1709147065487893,0.07098501558077709,0.42457953534924,0.18919703969882007,-0.34063648724308937,0.5064156793519784,0.38458191138709985,0.14253603773313425,-0.31393942137286884,0.16941623101993944,0.43526004364395104,0.15463713660267106,0.26498787299441884,0.26040800773997547
