run,rounds,probe_events,final_accuracy,best_accuracy,best_round,mean_accuracy_all_rounds,mean_accuracy_last_20,mean_accuracy_last_50,std_accuracy_last_50
transplant_probe_0.2,500,1000,73.86000061035156,76.51000213623047,389,68.09044016075134,72.33150100708008,73.49660049438477,4.0454286766696255
transplant_probe_0.5,500,2500,73.86000061035156,76.51000213623047,389,68.09044016075134,72.33150100708008,73.49660049438477,4.0454286766696255
pure_fedavg,500,0,73.610001,76.190002,459,68.016320028,72.68400034999999,73.03980014000001,3.086322246864381
