run_id,peak_accuracy,peak_round,final_accuracy,last20_mean,last50_mean,last100_mean,best_rolling5_mean,best_rolling5_end_round,best_rolling10_mean,best_rolling10_end_round,rounds501_1000_mean,rounds901_1000_mean,rounds771_1000_mean,last_targeted_round,targeted_slots_rounds771_1000,maximum_history_memory_bytes,failed_client_updates
L2_E5_r1000_seed1,82.62000274658203,997,79.19000244140625,80.96199913024903,79.99659957885743,78.65579975128173,82.18999938964845,990,81.67199935913085,973,76.01274014663696,78.65579975128173,77.41317387456479,770,0,2112800,0
L3_E2_r1000_seed1,82.1500015258789,783,81.86000061035156,79.88250045776367,79.62740020751953,77.57590007781982,81.70199890136719,906,81.23400039672852,973,75.91975991821289,77.57590007781982,77.00891297381857,1000,2989,2112800,0
