probe_ratio,event_count,attempted_count,skipped_count,response_cosine_mean,response_cosine_median,response_cosine_q25,response_cosine_q75,response_nre_mean,response_nre_median,response_norm_ratio_median,support_pearson,support_spearman,support_sign_agreement,predicted_active_count,predicted_active_helpful_fraction,realized_support_median,alignment_change_median
0.02,2,2,0,0.004640971881561609,0.004640971881561609,0.00405775647759539,0.005224187285527829,0.966589183294985,0.966589183294985,28.552842178221837,1.0,1.0,1.0,0,,0.01419054577127099,0.00029791565611958504
0.05,2,2,0,0.0023364139289154804,0.0023364139289154804,0.0019171230988990723,0.0027557047589318886,0.9281620828519122,0.9281620828519122,12.394245526866248,1.0,1.0,1.0,0,,-0.007572293281555176,-0.00043484941124916077
0.1,2,2,0,0.005724523493677722,0.005724523493677722,0.0033577792960197174,0.008091267691335727,0.8804289760459326,0.8804289760459326,6.808440777005666,1.0,1.0,1.0,0,,-0.008729482535272837,-0.0009534182026982307
0.2,2,2,0,0.01599096563174493,0.01599096563174493,0.01575375212134293,0.01622817914214693,0.8118219274593563,0.8118219274593563,3.688382956905615,1.0,1.0,1.0,0,,0.006578428670763969,0.0013612504117190838
0.4,2,2,0,0.01980382186592588,0.01980382186592588,0.0182748929571398,0.02133275077471196,0.7435843868901233,0.7435843868901233,2.103554933491785,1.0,1.0,1.0,0,,0.005614935420453548,0.002338348072953522
