round,algorithm,seed,test_accuracy,peak_accuracy_so_far,round_train_seconds,selected_clients,assignments,task_ids,task_seeds,views,flip_fraction,alt_violations
1,SymmetryFedPhoenix,1,10.0,10.0,10.78529850000632,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[{""client_id"": 80, ""task_id"": 0}, {""client_id"": 84, ""task_id"": 1}, {""client_id"": 33, ""task_id"": 2}, {""client_id"": 81, ""task_id"": 3}, {""client_id"": 93, ""task_id"": 4}, {""client_id"": 17, ""task_id"": 5}, {""client_id"": 36, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 69, ""task_id"": 8}, {""client_id"": 65, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]","[""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I""]",0.0,0
2,SymmetryFedPhoenix,1,13.229999542236328,13.229999542236328,6.033288100006757,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[{""client_id"": 44, ""task_id"": 0}, {""client_id"": 96, ""task_id"": 1}, {""client_id"": 1, ""task_id"": 2}, {""client_id"": 35, ""task_id"": 3}, {""client_id"": 26, ""task_id"": 4}, {""client_id"": 11, ""task_id"": 5}, {""client_id"": 38, ""task_id"": 6}, {""client_id"": 82, ""task_id"": 7}, {""client_id"": 87, ""task_id"": 8}, {""client_id"": 3, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]","[""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I""]",0.0,0
3,SymmetryFedPhoenix,1,12.229999542236328,13.229999542236328,6.08815309999045,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[{""client_id"": 95, ""task_id"": 0}, {""client_id"": 67, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 71, ""task_id"": 3}, {""client_id"": 1, ""task_id"": 4}, {""client_id"": 80, ""task_id"": 5}, {""client_id"": 99, ""task_id"": 6}, {""client_id"": 45, ""task_id"": 7}, {""client_id"": 52, ""task_id"": 8}, {""client_id"": 27, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]","[""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I""]",0.0,0
4,SymmetryFedPhoenix,1,16.290000915527344,16.290000915527344,6.779664000001503,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[{""client_id"": 40, ""task_id"": 0}, {""client_id"": 10, ""task_id"": 1}, {""client_id"": 96, ""task_id"": 2}, {""client_id"": 66, ""task_id"": 3}, {""client_id"": 89, ""task_id"": 4}, {""client_id"": 32, ""task_id"": 5}, {""client_id"": 95, ""task_id"": 6}, {""client_id"": 55, ""task_id"": 7}, {""client_id"": 25, ""task_id"": 8}, {""client_id"": 5, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]","[""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I""]",0.0,0
5,SymmetryFedPhoenix,1,32.41999816894531,32.41999816894531,4.994362600002205,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[{""client_id"": 89, ""task_id"": 0}, {""client_id"": 99, ""task_id"": 1}, {""client_id"": 45, ""task_id"": 2}, {""client_id"": 96, ""task_id"": 3}, {""client_id"": 72, ""task_id"": 4}, {""client_id"": 9, ""task_id"": 5}, {""client_id"": 74, ""task_id"": 6}, {""client_id"": 88, ""task_id"": 7}, {""client_id"": 1, ""task_id"": 8}, {""client_id"": 38, ""task_id"": 9}]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]","[""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I"", ""I""]",0.0,0
