round,stage,target_client_id,donor_client_id,target_local_seed,target_num_samples,donor_num_samples,target_dominant_class,donor_dominant_class,target_donor_label_cosine,target_baseline_loss,donor_baseline_loss,shadow_loss,norm_WA_minus_Wt_all,norm_WB_minus_Wt_all,norm_WBA_minus_WB_all,norm_WB_minus_WA_all,norm_WBA_minus_WA_all,recovery_pull_score_all,cos_WBA_minus_WB__WA_minus_Wt_all,cos_WBA_minus_WB__WB_minus_Wt_all,cos_WBA_minus_Wt__WA_minus_Wt_all,cos_WBA_minus_Wt__WB_minus_Wt_all,norm_WA_minus_Wt_conv,norm_WB_minus_Wt_conv,norm_WBA_minus_WB_conv,norm_WB_minus_WA_conv,norm_WBA_minus_WA_conv,recovery_pull_score_conv,cos_WBA_minus_WB__WA_minus_Wt_conv,cos_WBA_minus_WB__WB_minus_Wt_conv,cos_WBA_minus_Wt__WA_minus_Wt_conv,cos_WBA_minus_Wt__WB_minus_Wt_conv,norm_WA_minus_Wt_classifier,norm_WB_minus_Wt_classifier,norm_WBA_minus_WB_classifier,norm_WB_minus_WA_classifier,norm_WBA_minus_WA_classifier,recovery_pull_score_classifier,cos_WBA_minus_WB__WA_minus_Wt_classifier,cos_WBA_minus_WB__WB_minus_Wt_classifier,cos_WBA_minus_Wt__WA_minus_Wt_classifier,cos_WBA_minus_Wt__WB_minus_Wt_classifier
1,rounds_1_150,81,36,10180796,689,884,6,9,0.09014451244843609,0.8874662867614201,0.8666182067659166,0.8037182718515397,1.7919614722920703,2.127113246482132,1.651167636359738,2.751968957644212,3.0755164362449396,-0.1175694506662226,0.1239889256839783,-0.015255640839356658,0.0935505678042471,0.7864157405797243,1.5869364358255984,1.949099733127195,1.3979599161991232,2.4961084212210936,2.858825049138029,-0.14531284972769543,0.018179131650387873,0.012605008504555103,0.021866811777062282,0.8150939452949144,0.8316982772408882,0.8509496175989729,0.8782002740788604,1.1577933015310955,1.132622914754727,0.021739965797938576,0.44694406618911975,-0.11775163979021763,0.3811542490883855,0.6508083263633399
1,rounds_1_150,93,33,10192760,668,964,8,5,0.053287732016269844,0.8861415982246399,0.8167676731944085,0.8950750602143152,1.732630051291492,2.128030076957248,1.5158073671042516,2.7415926133246353,2.9176730459504916,-0.06422560075850559,0.15928997592522667,-0.07199851378201964,0.09735295077856856,0.8004369603824961,1.5583762730349042,1.956192028307016,1.1709029382871419,2.4904722586067005,2.726705769159716,-0.0948549054247152,0.02294621520220087,-0.011962648250064819,0.019313661467037023,0.8564195025562052,0.7566106090924526,0.8367880670421998,0.9623189062947679,1.1451501302230542,1.0367970710574914,0.09461908644629646,0.516920302583855,-0.2544146028695886,0.42782008276569083,0.5366984675799985
1,rounds_1_150,17,81,10116988,828,689,6,6,0.9416849740573945,0.3238649448927711,0.8874662867614201,0.23527010162087048,1.4713777886359332,1.7919614722920703,1.2203540501539156,2.2408892189544547,2.4456187960054048,-0.09136086483850003,0.12345040906775707,-0.01976873826049743,0.1262177769548447,0.8230130165946258,1.3247975286993958,1.5869364358255984,1.0820832736637132,2.0354786009291623,2.289047862294327,-0.12457476155701896,0.029023776606509705,0.0025845404133009427,0.04190042739205788,0.8266698368143014,0.6396936233891415,0.8316982772408882,0.563779362751876,0.9363826049243433,0.8597675697534778,0.08182022473287598,0.49907951325055977,-0.10181095110707267,0.4775182783758929,0.8098674403861823
1,rounds_1_150,69,17,10168832,500,828,0,6,0.3022728130722262,1.1426530057191848,0.3238649448927711,1.0127787786722182,1.6327364134338442,1.4713777886359332,1.541420193446618,2.1278438255966394,2.4984642001797246,-0.17417649271283553,0.11260073745692155,-0.02085532763629756,0.12632497787391636,0.6825425305051898,1.438643287951182,1.3247975286993958,1.3329485631028288,1.9441575130842061,2.346388323712673,-0.20689208972084194,0.01688927562810165,0.003911030309462597,0.02026791113305615,0.7063289633100345,0.7715640645476987,0.6396936233891415,0.77362734166542,0.8640538299767876,0.8571981329732828,0.00793434015990524,0.4204021542137681,-0.10954171058424605,0.519222249739928,0.5851998849247273
1,rounds_1_150,36,69,10135931,884,500,9,0,0.07178282957486515,0.8666182067659166,1.1426530057191848,0.8460304962264167,2.127113246482132,1.6327364134338442,2.042311625798916,2.677693191007852,3.163021706738592,-0.18124873953466958,0.12216226880197906,-0.041230333821158635,0.0992685290494323,0.604512549495353,1.949099733127195,1.438643287951182,1.7876840148304298,2.414161457944808,2.9888636905152364,-0.2380545968369805,0.017201825057472503,0.005675252302483395,0.017880353874839054,0.6296285338765049,0.8509496175989729,0.7715640645476987,0.9868572744820876,1.1574132796327201,1.0334162273789695,0.10713290959742428,0.5604158955992516,-0.1998279594908525,0.48120060540179727,0.5106924691672018
2,rounds_1_150,82,35,10281796,609,307,5,2,0.22446442798164873,0.8206641981234917,1.347961940084185,0.785110440162512,2.0915982136499305,1.9975746259381701,1.7445914811298389,2.8873881223648534,3.1608565878939023,-0.09471136332896957,0.1553874846882068,-0.03666940542515113,0.10670150461133814,0.7426871116917231,1.919510471784099,1.84662466183374,1.497534345512752,2.6501728662263906,3.0059555062917673,-0.13424884263190706,0.03770963979780483,-0.0024339538048336485,0.03158252702112777,0.7760915606091209,0.8298576214104626,0.7609094172949401,0.8944266066029523,1.144927403927684,0.9755996277796695,0.14789389752322635,0.617599835638328,-0.17796658748800526,0.493689122561253,0.5643801215692508
2,rounds_1_150,44,11,10243910,631,564,2,7,0.21843156645798678,0.807622877909587,1.1466786553462347,0.6986349678956545,2.036335640473068,1.9358068886600024,1.9483428559214009,2.782492341435592,3.2382731480760447,-0.16380307677874795,0.11574435682470682,-0.017693172904548356,0.09653133048776895,0.6984762472980338,1.8946525537087033,1.7471422850093474,1.7755404275482205,2.555082585445595,3.081532346746758,-0.20604021345531276,0.030270222726048374,0.002983568175021725,0.03357882086690199,0.70246327473084,0.7454197602320305,0.8327811999369702,0.8014464556386348,1.1007323719687765,0.9935975183981073,0.09733051947863325,0.5980167145320866,-0.11399330736065451,0.463684752704236,0.6814733274924824
2,rounds_1_150,11,87,10211009,564,421,7,2,0.6884839144423057,1.1466786553462347,1.0888064199023777,0.9098324209451676,1.9358068886600024,1.854693352744354,1.7940146931537477,2.5911352593846924,3.0026310779118783,-0.1588090845650807,0.13859008965875758,0.006902249584696137,0.14323333787359968,0.7210826096734618,1.7471422850093474,1.6989703251636845,1.611473156484164,2.392228295557999,2.851067707670514,-0.19180419066378795,0.04538672390705306,0.011789436942065783,0.05732630979741408,0.7293750183060618,0.8327811999369702,0.7431775688838337,0.7877359419381426,0.9945344931677649,0.9403390740266877,0.054493252384294255,0.5385633710958823,-0.016040811647345582,0.538402977220073,0.6800344398155717
2,rounds_1_150,3,26,10203033,566,500,1,6,0.24194104080404216,0.7188906237483025,0.9607346135377884,0.5827753636986017,1.9164654025447017,1.7301754923302917,1.6191453813853292,2.5160582939697616,2.8170484102574602,-0.1196276401898484,0.14101660564717772,-0.02521236465270627,0.13503615688718518,0.7220592198599037,1.7687320409094605,1.5432584081460368,1.449555622297922,2.314351849043037,2.677599535043107,-0.15695439142076406,0.05506447044394129,-0.0012382044943940475,0.058274242045849994,0.7284911548679726,0.7370030436456786,0.7815827986987212,0.7207184771854801,0.9860260751005622,0.8736961343993672,0.1139218764470693,0.5576863006648632,-0.12061330950567363,0.5267413572172251,0.6965995463649359
2,rounds_1_150,1,38,10201039,189,121,6,7,0.20873557641447532,1.303469106554985,1.1176516592502594,1.4156353324651718,1.237557264536773,1.1657486469550986,1.125591353425346,1.6703820171005477,1.8189966087072074,-0.08897042118821719,0.14567973247154672,-0.13051960207270333,0.13534318602170012,0.6742384733785085,1.1179455841883115,1.0066231430431947,0.9039570920768029,1.4928311904381004,1.716437011768135,-0.1497864077079023,0.03179441848401568,-0.01937816408826676,0.032983221315482286,0.7382288352357942,0.5303774398405379,0.5876403408737455,0.6704384210962583,0.7488833696553122,0.6013014969505585,0.19706923492329798,0.4802328772186379,-0.3898998406360222,0.5499180628855287,0.4672044362450307
