run_id,peak_accuracy,peak_round,final_accuracy,last20_mean,last50_mean,rounds151_300_mean,rounds201_300_mean,best_rolling5_mean,best_rolling5_end_round,peak_delta_vs_fedphoenix,peak_delta_vs_E5,last20_delta_vs_fedphoenix,last20_delta_vs_E5,clients_with_history,clients_history_eligible,clients_targeted,clients_cold_start,clients_stale,clients_before_start_round,total_reset_slots,targeted_reset_slots,replaced_reset_slots,average_actual_target_fraction,per_layer_targeted_slots,maximum_history_memory_bytes,failed_client_updates
P1_start151_gap10_ratio0125_all,77.91999816894531,232,74.1500015258789,71.82000122070312,71.24180053710937,71.03706665039063,71.54110004425048,75.50800018310547,262,-0.4300018310546818,-0.9900054931640625,2.155001220703113,-0.31149864196777344,2900,1923,985,0,515,1500,192930,5910,5812,0.030632872026123463,"{""features.0"":0,""features.10"":0,""features.14"":0,""features.17"":0,""features.20"":0,""features.24"":985,""features.27"":985,""features.3"":0,""features.30"":985,""features.34"":985,""features.37"":985,""features.40"":985,""features.7"":0}",2112800,0
P2_start151_gap10_ratio025_all,78.33999633789062,230,73.45999908447266,71.18750038146973,71.1315998840332,70.90506665547689,71.33829990386963,75.18799896240235,261,-0.010003662109369316,-0.57000732421875,1.522500381469726,-0.9439994812011605,2900,1923,985,0,515,1500,192930,14775,14558,0.07658218006530866,"{""features.0"":0,""features.10"":0,""features.14"":985,""features.17"":985,""features.20"":985,""features.24"":1970,""features.27"":1970,""features.3"":0,""features.30"":1970,""features.34"":1970,""features.37"":1970,""features.40"":1970,""features.7"":0}",2112800,0
