round,test_accuracy,round_train_seconds,selected_clients,global_state_sha256,round_shadow_event_count,observer_history_bytes,max_alignment_identity_abs_error,max_response_identity_abs_error,max_epsilon_geometry_abs_error
45,57.310001373291016,28.54565880005248,"[42, 4, 95, 71, 84, 22, 61, 5, 10, 28]",9f219b47d9b5c2dbc2fe9907034ed8d30165d50a421a9ed9d74f1df238c5c646,5,4441359912,1.2838452221469732e-08,3.008570814699851e-08,0.0018766999244690385
46,66.22000122070312,24.502005800022744,"[61, 52, 80, 26, 37, 44, 85, 1, 99, 55]",3dabe50ae6bbb77b2cc9f96d74d13fc225291588b1730ac66713a856863bf4e2,0,4441359912,nan,nan,nan
47,62.959999084472656,20.56006339995656,"[23, 10, 75, 28, 19, 22, 43, 13, 98, 85]",46fda114126959d897a93c73546e241d7625fbad6048e4001862fd1771bdef67,0,4441359912,nan,nan,nan
48,63.68000030517578,18.185106999997515,"[18, 1, 96, 63, 59, 71, 88, 39, 97, 68]",a0f8d7cb9340f909eba051e5cbefcde615a8468a9ff098e3d0ec3820b9096455,0,4441359912,nan,nan,nan
49,61.099998474121094,37.01139899995178,"[44, 11, 93, 47, 54, 9, 81, 94, 45, 65]",98aa09d1a8b6152b39d389fd4c55eaae26e470482771e24fdf1902a9ca9b08d8,5,4441359912,2.3450097242500023e-08,1.1270829602949561e-08,0.0012201547622681108
50,62.90999984741211,23.81718600000022,"[48, 43, 51, 76, 99, 39, 38, 73, 89, 80]",63c5e689c74192f40f6439645b06184d9365c296b13d9ee2c96d6b366d7e4fef,5,4441359912,2.375216392493107e-08,1.4392759872805527e-08,0.0029563665390015537
51,60.38999938964844,69.7166820000275,"[34, 16, 99, 17, 62, 58, 96, 29, 90, 30]",7797892cd3a0b083948894114a6d8ef4f2b29799b5a13e41a789cc915582b8fc,15,4441359912,1.92640521978326e-08,1.935381455098195e-08,0.0022125482559204324
52,64.12999725341797,31.681817800039425,"[8, 59, 78, 95, 25, 35, 99, 86, 54, 64]",66ed729d9ddb4edbc2eb1cb48f07b6dcc1dd52528b200760ba3d72af588e7058,5,4441359912,7.509776400727291e-09,3.001452242301639e-08,0.0019109964370728205
53,63.689998626708984,27.461028999998234,"[87, 42, 55, 74, 37, 10, 26, 23, 57, 62]",84724a98093971733b90d2fbe77563798f07b2332a63a94ed6d63ba3aba6eda6,5,4441359912,1.4561265082591035e-08,2.088206763062317e-08,0.0009103715419769287
54,53.9900016784668,34.7504595000064,"[84, 2, 76, 48, 68, 40, 92, 8, 42, 46]",765cc8b77c7930f4aa1fac55e2c9460a254669e857ea45d1a28d14c84c5f4d81,10,4441359912,3.984608358824533e-08,2.5074811560443777e-08,0.0015473008155822976
55,66.77999877929688,60.67019989999244,"[91, 70, 16, 58, 10, 35, 31, 86, 62, 54]",b82a74bd9ef8f8cc576b0241ec10659cc24169612e75f39a0cbd2ca23d25bc4f,10,4441359912,4.54019788965164e-08,3.109168034143295e-08,0.0032854795455932173
56,65.80000305175781,51.05890659999568,"[32, 41, 20, 75, 69, 62, 74, 38, 80, 58]",0eb61287a0c4b50bb1942ccf8ae608c9363bdc910cc15023828b16b1e3fa9663,10,4441359912,8.986759959458968e-09,1.881067390741009e-08,0.0008117020130157804
57,62.220001220703125,24.260102200030815,"[89, 0, 84, 16, 97, 67, 41, 38, 59, 60]",2c69bab63c10a9204e951a99d8cc200b7d0c3e84950daaa2fbb646782f49ccb4,5,4441359912,9.548539203676348e-09,8.074253265988318e-09,0.0003594219684601163
58,49.7599983215332,27.186232600011863,"[59, 21, 34, 35, 95, 41, 9, 12, 47, 42]",a9297a032e723c97f9769b41ed345ee50074c89c969606691d490844dd0df6d6,5,4441359912,5.4546167049720345e-08,3.6391501367916135e-08,0.0003122597932815607
59,63.470001220703125,23.241478500014637,"[88, 78, 75, 43, 57, 63, 34, 79, 17, 93]",76d499e8d82139c4222e7d910c29f456e0209b6e609ca278c4553e08ef3d3d37,0,4441359912,nan,nan,nan
60,67.05999755859375,18.195724099990912,"[76, 35, 9, 75, 32, 97, 53, 72, 27, 91]",28e710a8f24781bb60b6f973d3bc25899ed4d7799b6258bd8ab2944dd74d1fc0,0,4441359912,nan,nan,nan
61,67.23999786376953,29.47925719997147,"[60, 14, 9, 43, 15, 68, 7, 44, 65, 89]",6d44315722f7184ac009785f335fb3d630f297306e8bc3393d0e1add2ef07d16,0,4441359912,nan,nan,nan
62,66.0999984741211,37.621859000006225,"[56, 67, 28, 93, 30, 71, 78, 48, 25, 19]",6f85a5335c8e1384fcd98dc44f46baef36804dbef4f366ed635834d7a060a42e,5,4441359912,3.044868074336812e-09,1.8496555398428427e-08,0.0019977331161499245
