probe_ratio,gap_bin,count,response_cosine_median,response_nre_median,support_sign_agreement,predicted_active_count,predicted_active_helpful_fraction
0.02,gap_le_5,113,0.007110536422293906,0.9044515625750132,0.6106194690265486,20,0.5
0.02,gap_6_10,66,0.006743402267926859,0.9230799591016855,0.6363636363636364,14,0.6428571428571429
0.02,gap_11_20,60,0.004624954038583374,0.9337433633882471,0.5833333333333334,14,0.35714285714285715
0.02,gap_gt_20,34,0.0028877622462646123,0.9436299081086876,0.5588235294117647,10,0.7
0.05,gap_le_5,113,0.012977233764694028,0.8397979360518699,0.7876106194690266,20,0.65
0.05,gap_6_10,66,0.011700726641785652,0.8556080482456994,0.6818181818181818,14,0.5714285714285714
0.05,gap_11_20,60,0.011610505387241022,0.8738453556759919,0.5833333333333334,14,0.42857142857142855
0.05,gap_gt_20,34,0.008580750926161335,0.8841001983293166,0.5882352941176471,10,0.8
0.1,gap_le_5,113,0.017475549913527177,0.7835292750011712,0.7522123893805309,20,0.5
0.1,gap_6_10,66,0.018010376012785878,0.8007450326789216,0.6666666666666666,14,0.6428571428571429
0.1,gap_11_20,60,0.013275818562909361,0.818804270802757,0.6166666666666667,14,0.42857142857142855
0.1,gap_gt_20,34,0.009788518391243766,0.8259131880515418,0.7352941176470589,10,0.9
0.2,gap_le_5,113,0.02832772430440894,0.7378285755562121,0.7610619469026548,20,0.7
0.2,gap_6_10,66,0.026008140168839417,0.7495257507728499,0.7272727272727273,14,0.6428571428571429
0.2,gap_11_20,60,0.022718526589688856,0.7668394678491182,0.75,14,0.5714285714285714
0.2,gap_gt_20,34,0.021463520323705874,0.7732643940908137,0.7647058823529411,10,0.8
0.4,gap_le_5,113,0.033780098864269206,0.7104122465932915,0.7433628318584071,20,0.65
0.4,gap_6_10,66,0.03546870343622274,0.7098658555905802,0.7575757575757576,14,0.6428571428571429
0.4,gap_11_20,60,0.03527480441743734,0.7191454993849773,0.6833333333333333,14,0.6428571428571429
0.4,gap_gt_20,34,0.029537606527916885,0.7244100937543659,0.8823529411764706,10,1.0
