layer,score_type,output_kernels,reset_budget,number_valid_events,mean_same_overlap,median_same_overlap,mean_random_expected_overlap,mean_cross_overlap,mean_identity_overlap_advantage,mean_same_spearman,median_same_spearman,mean_cross_spearman,mean_identity_rank_advantage
features.0,update_norm,64,1,2900,0.04689655172413793,0.0,0.015749030006885954,0.04386590038314176,0.003030651340996167,0.2731674839692241,0.24853479853479854,0.2430479468188479,0.030119537150376175
features.0,residual,64,1,2900,0.04482758620689655,0.0,0.015749030006885954,0.04048659003831418,0.004340996168582374,0.26150668087876555,0.23262362637362638,0.23527056054021397,0.02623612033855155
features.0,norm_residual,64,1,2900,0.02,0.0,0.015749030006885954,0.020517241379310346,-0.0005172413793103456,0.009671985666451933,0.00923726810823585,0.000930822231281937,0.008741163435169994
features.0,angular,64,1,2900,0.021724137931034483,0.0,0.015749030006885954,0.02110344827586207,0.0006206896551724131,0.006183178529531034,0.007486263736263736,0.00057047136647045,0.005612707163060584
features.3,update_norm,64,1,2900,0.09379310344827586,0.0,0.015882153009516745,0.058724137931034474,0.035068965517241375,0.43323634879162093,0.4464002417466193,0.3677307712668477,0.0655055775247731
features.3,residual,64,1,2900,0.09206896551724138,0.0,0.015882153009516745,0.07417624521072796,0.017892720306513413,0.4327723124610682,0.44885531135531137,0.3820186635630511,0.050753648898017104
features.3,norm_residual,64,1,2900,0.020689655172413793,0.0,0.015882153009516745,0.020931034482758622,-0.00024137931034482857,0.01761545215664667,0.018620204051192947,0.0039103264824650544,0.013705125674181617
features.3,angular,64,1,2900,0.015862068965517243,0.0,0.015882153009516745,0.019344827586206897,-0.003482758620689656,0.002789534142134481,0.0070005791846087986,0.0026425977818218056,0.00014693636031267484
features.7,update_norm,128,2,2900,0.13224137931034483,0.0,0.01601441155958119,0.0845727969348659,0.04766858237547893,0.4160741125810594,0.42412804929674897,0.3415768060910461,0.07449730649001332
features.7,residual,128,2,2900,0.12982758620689655,0.0,0.01601441155958119,0.09212452107279694,0.037703065134099614,0.41767672771597314,0.42318301665871627,0.35877400294620027,0.05890272476977288
features.7,norm_residual,128,2,2900,0.020344827586206895,0.0,0.01601441155958119,0.017521072796934867,0.002823754789272031,0.01230353002025366,0.012576823648420816,0.004408693094437469,0.007894836925816193
features.7,angular,128,2,2900,0.01896551724137931,0.0,0.01601441155958119,0.017689655172413794,0.0012758620689655173,-0.0015216811612893772,-0.002813532651455547,0.002562481240888473,-0.004084162402177851
features.10,update_norm,128,2,2900,0.13827586206896553,0.0,0.01612525027808676,0.08812068965517243,0.0501551724137931,0.4997347050821571,0.5122486231313926,0.40932340107477544,0.09041130400738168
features.10,residual,128,2,2900,0.1336206896551724,0.0,0.01612525027808676,0.09220689655172415,0.041413793103448275,0.5032327896609438,0.5150495672698663,0.43369242314758594,0.0695403665133578
features.10,norm_residual,128,2,2900,0.019310344827586208,0.0,0.01612525027808676,0.016413793103448277,0.0028965517241379304,0.020593732523456077,0.023937057435090482,0.002297106374900355,0.018296626148555723
features.10,angular,128,2,2900,0.019655172413793102,0.0,0.01612525027808676,0.016120689655172413,0.0035344827586206895,-0.0004104906876187638,-9.44138473642801e-05,0.0005887988911741635,-0.0009992895787929279
features.14,update_norm,256,4,2900,0.1525,0.0,0.016125369998444997,0.09493103448275862,0.057568965517241374,0.4566625549262231,0.45769797224682984,0.33893805933927357,0.1177244955869496
features.14,residual,256,4,2900,0.1463793103448276,0.0,0.016125369998444997,0.10187164750957856,0.04450766283524904,0.45872499530948907,0.4608952985770953,0.36510252701557433,0.09362246829391466
features.14,norm_residual,256,4,2900,0.021551724137931036,0.0,0.016125369998444997,0.017906130268199233,0.0036455938697318004,0.030081813983064188,0.02931288953646636,0.0035599831586490952,0.026521830824415095
features.14,angular,256,4,2900,0.020948275862068967,0.0,0.016125369998444997,0.017983716475095786,0.00296455938697318,0.001838142395262112,0.003460492092439236,0.002894660872997395,-0.0010565184777352832
features.17,update_norm,256,4,2900,0.15405172413793103,0.0,0.016125190952910637,0.07913026819923372,0.07492145593869733,0.47756917452428477,0.48183526846054714,0.31641630435871626,0.16115287016556856
features.17,residual,256,4,2900,0.14732758620689654,0.0,0.016125190952910637,0.08506130268199234,0.062266283524904216,0.47688560706789335,0.4806929166319188,0.3473176845719858,0.12956792249590757
