score_type,scope,number_valid_events,mean_same_overlap,median_same_overlap,mean_random_expected_overlap,mean_cross_overlap,mean_identity_overlap_advantage,mean_same_spearman,median_same_spearman,mean_cross_spearman,mean_identity_rank_advantage
update_norm,all_layers,37700,0.14532493368700264,0.0,0.016069032113372902,0.0723177129384026,0.07300722074860005,0.47554523980065067,0.4850437774095112,0.3021550548012992,0.17339018499935135
update_norm,reset_eligible_layers,33320,0.15285864345738295,0.125,0.016125168244665474,0.07387688408696812,0.07898175937041484,0.4958148722030916,0.5006444213827618,0.3066796961974186,0.189135176005673
residual,all_layers,37700,0.14115716180371352,0.0,0.016069032113372902,0.07802844090775125,0.06312872089596228,0.4754957123290722,0.4840824250405328,0.3300934094708263,0.14540230285824587
residual,reset_eligible_layers,33320,0.1483080732292917,0.125,0.016125168244665474,0.07959100306789384,0.06871707016139789,0.4965524639147142,0.499917048724409,0.33764150411888155,0.15891095979583256
norm_residual,all_layers,37700,0.028570954907161803,0.0,0.016069032113372902,0.018277004126142058,0.010293950781019745,0.05608348864239627,0.05477269359115316,0.0039046608637259158,0.05217882777867036
norm_residual,reset_eligible_layers,33320,0.029910714285714287,0.0,0.016125168244665474,0.017990487861811393,0.011920226423902893,0.06220090272072794,0.05893941778127459,0.004308225608853757,0.05789267711187417
angular,all_layers,37700,0.021959549071618036,0.0,0.016069032113372902,0.018129752431476572,0.0038297966401414675,0.0009496493605621628,0.0012316362223085892,0.003466993647733826,-0.0025173442871716627
angular,reset_eligible_layers,33320,0.022460234093637454,0.0,0.016125168244665474,0.01794542817126851,0.004514805922368948,0.001041611530182976,0.001099959329356989,0.003794407709935925,-0.0027527961797529487
